,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
35,"FC = 0.98, SFT = 0.1",2015-10-26 20:00:00,2015-10-27 10:00:00,9027.273661,15,601.8182441,0.98,0.1,storm_36,0.101,0,0,0,0,0
36,"FC = 0.98, SFT = 0.1",2015-11-01 22:00:00,2015-11-02 23:00:00,46273.41537,26,1779.746745,0.98,0.1,storm_37,0.12,0,0,0,0,0
37,"FC = 0.98, SFT = 0.1",2015-11-04 11:00:00,2015-11-05 05:00:00,16227.98725,19,854.1045921,0.98,0.1,storm_38,0.272,0,0,0,0,0
38,"FC = 0.98, SFT = 0.1",2015-11-05 08:00:00,2015-11-07 13:00:00,86263.28535,54,1597.468247,0.98,0.1,storm_39,0.826,1,0,0,0,0
39,"FC = 0.98, SFT = 0.1",2015-11-13 19:00:00,2015-11-14 08:00:00,15652.97827,14,1118.069876,0.98,0.1,storm_40,0.239,0,0,0,0,0
40,"FC = 0.98, SFT = 0.1",2015-12-22 05:00:00,2015-12-24 04:00:00,88184.79726,48,1837.183276,0.98,0.1,storm_41,0.723,1,0,0,0,0
41,"FC = 0.98, SFT = 0.1",2016-01-03 21:00:00,2016-01-04 10:00:00,17078.88398,14,1219.920285,0.98,0.1,storm_42,0.133,0,0,0,0,0
42,"FC = 0.98, SFT = 0.1",2016-01-04 21:00:00,2016-01-08 07:00:00,260803.6254,83,3142.212354,0.98,0.1,storm_43,1.795,1,0,0,0,1
43,"FC = 0.98, SFT = 0.1",2016-01-15 02:00:00,2016-01-17 05:00:00,197777.1259,52,3803.406268,0.98,0.1,storm_44,2.123,1,0,1,0,1
44,"FC = 0.98, SFT = 0.1",2016-01-21 17:00:00,2016-01-24 23:00:00,435324.6789,79,5510.438974,0.98,0.1,storm_45,2.38,1,0,1,0,1
45,"FC = 0.98, SFT = 0.1",2016-01-29 10:00:00,2016-01-30 10:00:00,121106.3042,25,4844.252169,0.98,0.1,storm_46,1.531,1,0,0,0,1
46,"FC = 0.98, SFT = 0.1",2016-01-30 19:00:00,2016-01-31 12:00:00,10303.49336,18,572.4162977,0.98,0.1,storm_47,1.531,1,0,0,0,1
47,"FC = 0.98, SFT = 0.1",2016-02-04 04:00:00,2016-02-05 10:00:00,82726.51233,31,2668.597172,0.98,0.1,storm_48,1.038,1,0,0,0,1
48,"FC = 0.98, SFT = 0.1",2016-02-11 16:00:00,2016-02-12 09:00:00,33047.86032,18,1835.99224,0.98,0.1,storm_49,0.413,0,0,0,0,0
49,"FC = 0.98, SFT = 0.1",2016-02-20 16:00:00,2016-02-21 08:00:00,35553.34956,17,2091.373503,0.98,0.1,storm_50,0.43,0,0,0,0,0
50,"FC = 0.98, SFT = 0.1",2016-03-11 16:00:00,2016-03-12 10:00:00,25964.13901,19,1366.533632,0.98,0.1,storm_51,0.305,0,0,0,0,0
51,"FC = 0.98, SFT = 0.1",2016-03-18 15:00:00,2016-03-19 04:00:00,12813.02675,14,915.2161965,0.98,0.1,storm_52,0.196,0,0,0,0,0
52,"FC = 0.98, SFT = 0.1",2016-05-09 16:00:00,2016-05-10 06:00:00,10358.85572,15,690.5903814,0.98,0.1,storm_53,0.187,0,0,0,0,0
53,"FC = 0.98, SFT = 0.1",2016-06-04 11:00:00,2016-06-07 17:00:00,666754.2972,79,8439.927812,0.98,0.1,storm_54,4.608,1,0,1,0,1
54,"FC = 0.98, SFT = 0.1",2016-06-09 08:00:00,2016-06-10 14:00:00,41896.4855,31,1351.499532,0.98,0.1,storm_55,0.66,1,0,0,0,0
