id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount,base_flow,storm_flow,total_flow,norm_tot_q,norm_c,norm_ts,Time Period,Est_Tbdt_power_precal,Est_Tbdt_mix_Precal,Est_Tbdt_mix_Postcal,Est_Tbdt_mix_Fullcal
50204,2020-08-21 07:00:00,0.0,77.106,6.4,0.892,82,83,0.837369401853841,0.0546305981461586,0.892,0.0762081784386616,0.0204918032786885,0.3975903614457831,Postfire,36.40469077493952,41.687535444221815,27.024008719876765,33.297224035791764
50205,2020-08-21 08:00:00,0.0,76.578,6.7,0.886,82,83,0.835006620990895,0.0509933790091049,0.886,0.070631970260223,0.0327868852459016,0.4096385542168674,Postfire,36.294322999951504,41.67865327855481,27.01158879021116,33.28672640866663
50206,2020-08-21 09:00:00,0.0,78.611,6.7,0.91,82,83,0.832419822931744,0.0775801770682564,0.91,0.0929368029739776,0.0327868852459016,0.4216867469879518,Postfire,36.733364971782514,41.71419045935324,27.061294207936363,33.32873181541247
50207,2020-08-21 10:00:00,0.0,73.963,6.9,0.856,82,83,0.830269131552221,0.0257308684477792,0.856,0.0427509293680296,0.040983606557377,0.4337349397590361,Postfire,35.73621662801377,41.63426373874017,26.94955334525285,33.23427550104163
50208,2020-08-21 11:00:00,0.0,73.56,6.8,0.851,82,83,0.828786310161937,0.0222136898380629,0.851,0.0381040892193307,0.0368852459016393,0.4457831325301205,Postfire,35.64215833571018,41.62686893079599,26.939224502303265,33.22553971325264
50209,2020-08-21 12:00:00,0.0,76.309,6.7,0.883,82,83,0.827337776768018,0.0556622232319819,0.883,0.0678438661710036,0.0327868852459016,0.4578313253012048,Postfire,36.23898490588673,41.67421272801937,27.0053804310161,33.28147852602421
50210,2020-08-21 13:00:00,0.0,72.795,6.3,0.843,82,83,0.8260521029447,0.0169478970552999,0.843,0.0306691449814125,0.0163934426229508,0.4698795180722891,Postfire,35.49103052404414,41.61503928707169,26.92270452949941,33.21156603507131
50211,2020-08-21 14:00:00,0.0,75.618,6.4,0.875,82,83,0.824939683983724,0.0500603160162765,0.875,0.0604089219330854,0.0204918032786885,0.4819277108433735,Postfire,36.090909035209606,41.662372994647775,26.98883003854971,33.26748720596947
50212,2020-08-21 15:00:00,0.0,80.899,6.5,0.936,82,83,0.823607778706089,0.112392221293911,0.936,0.1171003717472119,0.0245901639344262,0.4939759036144578,Postfire,37.2018642665493,41.75271471182377,27.11521912240098,33.37428252268177
50213,2020-08-21 16:00:00,0.0,75.609,6.3,0.875,82,83,0.821962243644775,0.0530377563552247,0.875,0.0604089219330854,0.0163934426229508,0.5060240963855421,Postfire,36.090909035209606,41.662372994647775,26.98883003854971,33.26748720596947
50214,2020-08-21 17:00:00,0.0,77.744,6.3,0.9,82,83,0.820031244835718,0.0799687551642816,0.9,0.0836431226765799,0.0163934426229508,0.5180722891566265,Postfire,36.55121441271795,41.6993805400513,27.040575287966885,33.31122473412837
50215,2020-08-21 18:00:00,0.0,80.474,6.4,0.931,82,83,0.81778823802816,0.11321176197184,0.931,0.112453531598513,0.0204918032786885,0.5301204819277109,Postfire,37.11232959497759,41.74530413026361,27.10484269314264,33.36551914735947
50216,2020-08-21 19:00:00,0.0,73.155,6.1,0.847,82,83,0.8156033114448,0.0313966885551999,0.847,0.0343866171003716,0.0081967213114753,0.5421686746987951,Postfire,35.56669258732996,41.62095379372197,26.93096356586978,33.21855232308526
50217,2020-08-21 20:00:00,0.0,73.877,6.3,0.855,82,83,0.81359160792,0.04140839208,0.855,0.0418215613382899,0.0163934426229508,0.5542168674698795,Postfire,35.71742919772324,41.63278469833856,26.947487339091296,33.23252820568929
50218,2020-08-21 21:00:00,0.0,76.934,5.9,0.89,82,83,0.811395468,0.0786045319999999,0.89,0.0743494423791821,0.0,0.5662650602409639,Postfire,36.36794702153077,41.684574564608326,27.019868267534505,33.29372455090495
50219,2020-08-21 22:00:00,1.5,70.312,6.1,0.814,82,83,0.81012,0.0038799999999998,0.814,0.003717472118959,0.0081967213114753,0.5783132530120482,Postfire,34.93647361756987,41.57217796333755,26.86288331271273,33.16094839755823
50220,2020-08-21 23:00:00,0.5,70.011,6.8,0.81,82,83,0.81,0.0,0.81,0.0,0.0368852459016393,0.5903614457831325,Postfire,34.85913512094442,41.56626865597427,26.85463994074759,33.15397119788783
50221,2020-08-22 00:00:00,0.0,74.202,6.6,0.859,82,83,0.8100441,0.0489558999999999,0.859,0.045539033457249,0.0286885245901639,0.6024096385542169,Postfire,35.79250658488632,41.638701096394506,26.95575207652527,33.239517800511166
50222,2020-08-22 01:00:00,0.0,71.989,6.0,0.833,82,83,0.810191808,0.0228081919999999,0.833,0.0213754646840147,0.0040983606557376,0.6144578313253012,Postfire,35.301006956357114,41.600255778256034,26.9020652494376,33.19410513619688
50223,2020-08-22 02:00:00,0.5,76.576,7.0,0.886,82,83,0.81047553228,0.07552446772,0.886,0.070631970260223,0.0450819672131147,0.6265060240963856,Postfire,36.294322999951504,41.67865327855481,27.01158879021116,33.28672640866663
50224,2020-08-22 03:00:00,1.0,96.322,9.8,1.115,82,83,0.8111565191376,0.3038434808624,1.115,0.2834572490706319,0.1598360655737705,0.6385542168674698,Postfire,40.248977230150885,42.01866409091081,27.48866196824622,33.68915013939511
50225,2020-08-22 04:00:00,0.5,92.79,9.6,1.074,82,83,0.81260907565608,0.26139092434392,1.074,0.2453531598513011,0.151639344262295,0.6506024096385542,Postfire,39.57629189741624,41.95763645873848,27.40278631299887,33.616833750641966
50226,2020-08-22 05:00:00,1.0,93.38,8.4,1.081,82,83,0.814876761923447,0.266123238076553,1.081,0.2518587360594795,0.1024590163934426,0.6626506024096386,Postfire,39.69212832254379,41.96805110153444,27.417433746554234,33.629172201440845
50227,2020-08-22 06:00:00,1.0,95.982,8.3,1.111,82,83,0.817859233166368,0.293140766833632,1.111,0.2797397769516728,0.0983606557377049,0.6746987951807228,Postfire,40.18395496948944,42.012707246748285,27.480274982301328,33.68208975053328
50228,2020-08-22 07:00:00,0.5,101.629,10.5,1.176,82,83,0.821581351517214,0.354418648482786,1.176,0.3401486988847583,0.1885245901639344,0.6867469879518072,Postfire,41.22508769952918,42.10958447658469,27.61680153123001,33.7969586656318
50229,2020-08-22 08:00:00,0.5,115.766,11.3,1.34,82,83,0.82623522242656,0.51376477757344,1.34,0.4925650557620818,0.2213114754098361,0.6987951807228916,Postfire,43.71881985378992,42.35475782626956,27.963529535864108,34.088087629988586
50230,2020-08-22 09:00:00,0.0,116.645,10.3,1.35,82,83,0.832058335961322,0.517941664038678,1.35,0.5018587360594796,0.180327868852459,0.7108433734939759,Postfire,43.865296243261504,42.36974196953293,27.984776560206363,34.10590002363396
50231,2020-08-22 10:00:00,0.0,115.189,11.1,1.333,82,83,0.839043929071177,0.493956070928823,1.333,0.4860594795539033,0.2131147540983606,0.7228915662650602,Postfire,43.61592825764601,42.34427129099161,27.94866381914056,34.075623106475014
50232,2020-08-22 11:00:00,1.0,123.495,12.0,1.429,82,83,0.847096340998389,0.581903659001611,1.429,0.575278810408922,0.25,0.7349397590361446,Postfire,45.00205174191407,42.48825651453244,28.15305399346917,34.24686345771435
50233,2020-08-22 12:00:00,0.0,118.924,11.6,1.376,82,83,0.856172205349679,0.51982779465032,1.376,0.5260223048327137,0.2336065573770491,0.7469879518072289,Postfire,44.24336392753545,42.40871934880112,28.04007548874952,34.15224491738897
50234,2020-08-22 13:00:00,0.0,118.065,11.7,1.366,82,83,0.866101719151221,0.49989828084878,1.366,0.5167286245353161,0.2377049180327868,0.7590361445783133,Postfire,44.09842227095577,42.393724867948364,28.01879698052341,34.13441437232557
50235,2020-08-22 14:00:00,0.0,128.899,11.9,1.492,82,83,0.876797471357318,0.615202528642682,1.492,0.6338289962825279,0.2459016393442623,0.7710843373493976,Postfire,45.88402010498292,42.5829461665976,28.287792916550607,34.35959014552926
50236,2020-08-22 15:00:00,0.5,122.691,11.2,1.42,82,83,0.888284767109739,0.531715232890261,1.42,0.5669144981412639,0.2172131147540983,0.7831325301204819,Postfire,44.87432268175607,42.4747423238899,28.13384494233648,34.230782317234485
50237,2020-08-22 16:00:00,0.0,117.557,11.3,1.361,82,83,0.900122712481924,0.460877287518076,1.361,0.5120817843866171,0.2213114754098361,0.7951807228915663,Postfire,44.02573252040116,42.38622911877534,28.008162269021778,34.125501718447794
50238,2020-08-22 17:00:00,0.5,120.678,10.8,1.397,82,83,0.911539445588043,0.485460554411957,1.397,0.5455390334572491,0.2008196721311475,0.8072289156626506,Postfire,44.54586665812303,42.44022070541771,28.08479980385517,34.1897117990612
50239,2020-08-22 18:00:00,0.5,109.882,10.0,1.272,82,83,0.922177930495334,0.349822069504666,1.272,0.429368029739777,0.1680327868852459,0.8192771084337349,Postfire,42.70643037525176,42.25297102589077,27.81937045095464,33.967148317201804
50240,2020-08-22 19:00:00,0.0,99.265,10.7,1.149,82,83,0.932032981314783,0.216967018685217,1.149,0.3150557620817844,0.1967213114754098,0.8313253012048193,Postfire,40.79656105158766,42.06932284550535,27.56002888364858,33.74920827000299
50241,2020-08-22 20:00:00,0.0,107.392,10.8,1.243,82,83,0.941116803683081,0.301883196316919,1.243,0.4024163568773235,0.2008196721311475,0.8433734939759037,Postfire,42.26562746111317,42.20961779947525,27.75806068522192,33.91566926242364
