id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount,base_flow,storm_flow,total_flow,norm_tot_q,norm_c,norm_ts,Time Period,Est_Tbdt_power_precal,Est_Tbdt_mix_Precal,Est_Tbdt_mix_Postcal,Est_Tbdt_mix_Fullcal
65731,2023-11-25 06:00:00,1.0,186.056,88.5,2.153,123,124,0.159755371292928,1.99324462870707,2.153,0.2641804668144477,0.0304030765881798,0.1463414634146341,,,,,
65732,2023-11-25 07:00:00,0.0,183.798,90.9,2.127,123,124,0.191748144306097,1.9352518556939,2.127,0.2607901942886947,0.0312738090918985,0.1707317073170731,,,,,
65733,2023-11-25 08:00:00,0.0,143.697,1489.9,1.663,123,124,0.224932390507457,1.43806760949254,1.663,0.2002868692137175,0.5388382977179552,0.1951219512195122,,,,,
65734,2023-11-25 09:00:00,0.0,130.431,403.3,1.51,123,124,0.25640085378403,1.25359914621597,1.51,0.1803364193506324,0.1446141566592896,0.2195121951219512,,,,,
65735,2023-11-25 10:00:00,0.0,116.518,202.5,1.349,123,124,0.285592655101759,1.06340734489824,1.349,0.1593428087103924,0.0717628705148206,0.2439024390243902,,,,,
65736,2023-11-25 11:00:00,0.5,85.988,111.7,0.995,123,124,0.312492402762389,0.682507597237611,0.995,0.1131829443212935,0.038820157457461,0.2682926829268293,,,,,
65737,2023-11-25 12:00:00,1.5,67.092,56.1,0.777,123,124,0.337260474101132,0.439739525898868,0.777,0.0847568131438257,0.0186481877879766,0.2926829268292683,,,,,
65738,2023-11-25 13:00:00,0.0,63.404,71.0,0.734,123,124,0.360262606871065,0.373737393128935,0.734,0.0791498239666188,0.0240539854152305,0.3170731707317073,,,,,
65739,2023-11-25 14:00:00,0.5,70.293,48.8,0.814,123,124,0.381789936858801,0.432210063141199,0.814,0.0895814317381666,0.015999709755832,0.3414634146341463,,,,,
65740,2023-11-25 15:00:00,0.0,62.009,54.4,0.718,123,124,0.401979100647273,0.316020899352727,0.718,0.0770635024123092,0.0180314189311758,0.3658536585365853,,,,,
65741,2023-11-25 16:00:00,0.0,129.977,180.4,1.504,123,124,0.421647754608436,1.08235224539156,1.504,0.1795540487677663,0.0637448753764104,0.3902439024390244,,,,,
