"","run_id","storm_counts"
"1","FC = 0.98, SFT = 0.1",9
"2","FC = 0.99, SFT = 0.1",9
"3","FC = 0.98, SFT = 0.2",11
"4","FC = 0.99, SFT = 0.2",10
"5","FC = 0.98, SFT = 0.5",7
"6","FC = 0.99, SFT = 0.5",7
