"","run_id","storm_counts"
"1","FC = 0.94, SFT = 0.2",108
"2","FC = 0.965, SFT = 0.2",119
"3","FC = 0.96, SFT = 0.2",116
"4","FC = 0.94, SFT = 0.3",79
"5","FC = 0.965, SFT = 0.3",85
"6","FC = 0.96, SFT = 0.3",86
