id,Datetime,Rainfall (mm),Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
32,2014-12-04,0.5,7.418,2.2,0.086,2,1
33,2014-12-05,41.0,31.336,14.0,0.363,2,1
34,2014-12-06,1.5,94.592,38.8,1.095,2,1
35,2014-12-07,18.0,49.603,14.6,0.574,2,1
38,2014-12-10,0.0,34.532,19.3,0.4,4,2
39,2014-12-11,29.0,99.965,32.8,1.157,4,2
40,2014-12-12,8.0,67.612,34.0,0.783,4,2
41,2014-12-13,1.5,49.504,12.9,0.573,4,2
63,2015-01-04,0.0,19.304,113.4,0.223,8,3
64,2015-01-05,8.5,243.025,69.8,2.813,8,3
65,2015-01-06,0.5,140.71,42.7,1.629,8,3
169,2015-04-20,2.0,43.29,29.2,0.501,21,4
170,2015-04-21,57.0,656.33,89.5,7.596,21,4
171,2015-04-22,23.5,1962.263,72.2,22.711,21,4
172,2015-04-23,23.5,1725.811,39.7,19.975,21,4
173,2015-04-24,5.0,1450.859,33.2,16.792,21,4
174,2015-04-25,0.0,297.09,15.1,3.439,21,4
408,2016-01-04,15.0,11.45,3.6,0.133,42,5
409,2016-01-05,5.0,20.247,4.4,0.234,42,5
410,2016-01-06,25.0,155.045,30.8,1.795,42,5
411,2016-01-07,6.5,101.261,17.0,1.172,42,5
412,2016-01-08,0.0,43.573,6.3,0.504,42,5
419,2016-01-15,11.5,6.494,2.3,0.075,43,6
420,2016-01-16,26.5,183.416,26.3,2.123,43,6
421,2016-01-17,1.0,33.417,4.8,0.387,43,6
425,2016-01-21,0.0,9.695,2.5,0.112,44,7
426,2016-01-22,36.0,144.447,28.6,1.672,44,7
427,2016-01-23,19.0,205.659,45.7,2.38,44,7
428,2016-01-24,0.0,117.156,18.8,1.356,44,7
433,2016-01-29,2.0,25.441,4.4,0.294,45,8
434,2016-01-30,25.0,132.303,72.4,1.531,45,8
434,2016-01-30,25.0,132.303,72.4,1.531,46,9
435,2016-01-31,3.5,30.164,12.8,0.349,46,9
439,2016-02-04,1.5,12.342,4.3,0.143,47,10
440,2016-02-05,21.0,89.694,21.5,1.038,47,10
560,2016-06-04,2.0,2.509,2.3,0.029,53,11
561,2016-06-05,36.5,107.858,45.9,1.248,53,11
562,2016-06-06,38.0,398.096,57.7,4.608,53,11
563,2016-06-07,0.5,211.632,24.7,2.449,53,11
575,2016-06-19,9.5,38.703,11.3,0.448,56,12
576,2016-06-20,25.0,223.18,26.6,2.583,56,12
577,2016-06-21,2.5,343.551,24.9,3.976,56,12
578,2016-06-22,0.0,87.291,9.1,1.01,56,12
579,2016-06-23,4.0,73.459,7.7,0.85,56,12
594,2016-07-08,0.0,29.317,2.4,0.339,60,13
595,2016-07-09,14.5,107.542,42.0,1.245,60,13
596,2016-07-10,0.5,74.473,22.5,0.862,60,13
606,2016-07-20,1.0,24.671,0.3,0.286,63,14
607,2016-07-21,41.0,571.863,71.3,6.619,63,14
608,2016-07-22,0.0,206.636,14.4,2.392,63,14
609,2016-07-23,13.5,92.043,6.7,1.065,63,14
610,2016-07-24,5.5,187.02,61.7,2.165,63,14
611,2016-07-25,0.0,74.669,5.7,0.864,63,14
612,2016-07-26,1.5,66.757,5.3,0.773,63,14
619,2016-08-02,0.5,29.98,1.0,0.347,65,15
620,2016-08-03,25.5,93.225,20.4,1.079,65,15
621,2016-08-04,2.0,134.018,22.0,1.551,65,15
622,2016-08-05,3.5,75.138,6.6,0.87,65,15
623,2016-08-06,3.0,99.842,9.9,1.156,65,15
624,2016-08-07,0.0,76.194,4.7,0.882,65,15
625,2016-08-08,0.0,60.593,3.6,0.701,65,15
650,2016-09-02,3.5,27.696,5.7,0.321,69,16
651,2016-09-03,32.5,1314.055,36.1,15.209,69,16
652,2016-09-04,5.5,464.186,32.9,5.373,69,16
653,2016-09-05,0.0,87.684,8.9,1.015,69,16
654,2016-09-06,0.0,59.784,7.0,0.692,69,16
666,2016-09-18,0.0,24.984,3.3,0.289,71,17
667,2016-09-19,22.5,94.746,30.1,1.097,71,17
668,2016-09-20,0.0,87.329,23.2,1.011,71,17
755,2016-12-16,3.0,8.557,3.6,0.099,80,18
756,2016-12-17,40.0,143.11,48.4,1.656,80,18
763,2016-12-24,0.0,7.243,2.7,0.084,81,19
764,2016-12-25,50.5,157.052,116.0,1.818,81,19
847,2017-03-18,0.5,18.308,8.9,0.212,89,20
848,2017-03-19,28.5,146.094,30.6,1.691,89,20
849,2017-03-20,7.0,129.263,17.2,1.496,89,20
850,2017-03-21,0.0,47.474,8.1,0.549,89,20
850,2017-03-21,0.0,47.474,8.1,0.549,90,21
851,2017-03-22,29.0,160.943,39.8,1.863,90,21
852,2017-03-23,5.0,397.665,55.5,4.603,90,21
853,2017-03-24,4.5,69.278,9.9,0.802,90,21
854,2017-03-25,2.0,58.533,6.3,0.677,90,21
855,2017-03-26,2.0,40.898,3.2,0.473,90,21
856,2017-03-27,0.0,34.848,3.3,0.403,90,21
1063,2017-10-20,0.0,3.484,5.1,0.04,101,22
1064,2017-10-21,50.0,108.149,67.4,1.252,101,22
1191,2018-02-25,0.0,8.09,4.1,0.094,113,23
1192,2018-02-26,50.0,144.378,22.7,1.671,113,23
1193,2018-02-27,8.5,88.964,16.2,1.03,113,23
1408,2018-10-10,0.0,10.139,2.7,0.117,127,24
1409,2018-10-11,32.5,113.147,55.5,1.31,127,24
1410,2018-10-12,3.5,45.469,21.7,0.526,127,24
1457,2018-11-28,0.5,6.378,2.2,0.074,131,25
1458,2018-11-29,82.0,688.709,96.5,7.971,131,25
1459,2018-11-30,0.0,138.741,19.2,1.606,131,25
1460,2018-12-01,0.0,48.462,5.3,0.561,131,25
1478,2018-12-19,0.0,18.641,2.9,0.216,133,26
1479,2018-12-20,35.0,383.222,55.5,4.435,133,26
1480,2018-12-21,14.5,316.642,56.2,3.665,133,26
1481,2018-12-22,0.0,111.772,17.6,1.294,133,26
1482,2018-12-23,0.5,48.453,5.5,0.561,133,26
1483,2018-12-24,0.0,31.341,3.4,0.363,133,26
1513,2019-01-23,3.0,11.288,3.1,0.131,137,27
1514,2019-01-24,11.5,215.747,67.9,2.497,137,27
1890,2020-02-06,0.0,2.605,4.2,0.03,154,28
1891,2020-02-07,9.5,6.264,6.6,0.072,154,28
1892,2020-02-08,15.0,22.214,9.5,0.257,154,28
1893,2020-02-09,30.0,97.234,25.5,1.125,154,28
1894,2020-02-10,71.5,1611.146,124.7,18.648,154,28
1895,2020-02-11,4.0,489.512,24.4,5.666,154,28
1896,2020-02-12,3.5,100.24,7.6,1.16,154,28
1896,2020-02-12,3.5,100.24,7.6,1.16,155,29
1897,2020-02-13,19.0,74.573,10.0,0.863,155,29
1898,2020-02-14,3.5,105.304,16.7,1.219,155,29
1899,2020-02-15,1.5,64.204,5.3,0.743,155,29
1901,2020-02-17,0.0,70.754,28.3,0.819,157,30
1902,2020-02-18,35.0,400.799,95.1,4.639,157,30
1903,2020-02-19,7.5,117.127,19.5,1.356,157,30
1904,2020-02-20,0.0,385.921,175.1,4.467,157,30
