"","datetime","smooth_st_flow","total_flow","storm_id","X","Rainfall..mm.","Discharge..ML.d.","conc","q_cms","rescaled_conc","time_step","norm_tot_q","norm_c","norm_ts","filter_para","sf_thresh","run_id"
"1613",2020-03-04 06:00:00,0.218333226963942,0.4,"storm_143",46123,1.5,34.541,5.8,0.4,0.479262749297283,8,0.0245535714285715,0.0407239819004525,0.28,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1614",2020-03-04 07:00:00,0.241573823217326,0.389,"storm_143",46124,0,33.589,6.2,0.389,0.512315352697095,9,0,0.0588235294117647,0.32,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1615",2020-03-04 08:00:00,0.304499534236845,0.453,"storm_143",46125,0.5,39.176,6.6,0.453,0.545367956096908,10,0.142857142857143,0.0769230769230769,0.36,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1616",2020-03-04 09:00:00,0.370754165212276,0.708,"storm_143",46126,0,61.147,10.8,0.708,0.892420291794941,11,0.712053571428571,0.266968325791855,0.4,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1617",2020-03-04 10:00:00,0.411353619450638,0.745,"storm_143",46127,0,64.34,16,0.745,1.3221041359925,12,0.794642857142857,0.502262443438914,0.44,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1618",2020-03-04 11:00:00,0.429615216106962,0.664,"storm_143",46128,0,57.358,21,0.664,1.73526167849016,13,0.613839285714286,0.728506787330317,0.48,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1619",2020-03-04 12:00:00,0.427750592515306,0.737,"storm_143",46129,1,63.672,27,0.737,2.23105072948735,14,0.776785714285714,1,0.52,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1620",2020-03-04 13:00:00,0.401980171487788,0.748,"storm_143",46130,0,64.626,13,0.748,1.07420961049391,15,0.801339285714286,0.366515837104072,0.56,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1621",2020-03-04 14:00:00,0.367839388443208,0.635,"storm_143",46131,0,54.86,7.7,0.635,0.636262615446393,16,0.549107142857143,0.126696832579186,0.6,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1622",2020-03-04 15:00:00,0.351874563153395,0.592,"storm_143",46132,0,51.183,6.7,0.592,0.553631106946861,17,0.453125,0.081447963800905,0.64,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1623",2020-03-04 16:00:00,0.365089192387497,0.62,"storm_143",46133,0,53.538,5.9,0.62,0.487525900147236,18,0.515625,0.0452488687782805,0.68,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1624",2020-03-04 17:00:00,0.389669761673324,0.693,"storm_143",46134,0,59.9,8.5,0.693,0.702367822246018,19,0.678571428571428,0.16289592760181,0.72,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1625",2020-03-04 18:00:00,0.39263860688502,0.837,"storm_143",46135,0,72.288,11.2,0.837,0.925472895194753,20,1,0.285067873303167,0.76,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1626",2020-03-04 19:00:00,0.365646365632782,0.747,"storm_143",46136,0,64.499,8.9,0.747,0.735420425645831,21,0.799107142857143,0.180995475113122,0.8,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1627",2020-03-04 20:00:00,0.330774757959095,0.634,"storm_143",46137,0,54.82,7.5,0.634,0.619736313746486,22,0.546875,0.117647058823529,0.84,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1628",2020-03-04 21:00:00,0.301207811484622,0.638,"storm_143",46138,0,55.152,7,0.638,0.578420559496721,23,0.555803571428572,0.0950226244343891,0.88,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1629",2020-03-04 22:00:00,0.27202745569041,0.673,"storm_143",46139,0,58.159,6,0.673,0.495789050997189,24,0.633928571428572,0.0497737556561086,0.92,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1630",2020-03-04 23:00:00,0.241905572422448,0.613,"storm_143",46140,0,52.998,6.2,0.613,0.512315352697095,25,0.5,0.0588235294117647,0.96,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1631",2020-03-05,0.215097806865778,0.572,"storm_143",46141,0,49.39,6.4,0.572,0.528841654397002,26,0.408482142857143,0.0678733031674208,1,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1632",2020-03-05 10:00:00,0.224674576374963,0.533,"storm_144",46151,1,46.023,4.5,0.533,0.371841788247892,1,0,0,0,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1633",2020-03-05 11:00:00,0.419832459805572,0.699,"storm_144",46152,4.5,60.427,7.3,0.699,0.60321001204658,2,0.0580825752274317,0.0466666666666667,0.0227272727272727,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1634",2020-03-05 12:00:00,0.751214713810246,0.991,"storm_144",46153,3.5,85.643,12.8,0.991,1.057683308794,3,0.160251924422673,0.138333333333333,0.0454545454545455,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1635",2020-03-05 13:00:00,1.22423421083265,1.367,"storm_144",46154,1.5,118.076,22,1.367,1.81789318698969,4,0.291812456263121,0.291666666666667,0.0681818181818182,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1636",2020-03-05 14:00:00,1.75554032399662,2.272,"storm_144",46155,0.5,196.297,45.2,2.272,3.73494418417883,5,0.608467459762071,0.678333333333333,0.0909090909090909,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1637",2020-03-05 15:00:00,2.1905265647629,2.935,"storm_144",46156,0.5,253.616,62.5,2.935,5.16446928122072,6,0.840447865640308,0.966666666666667,0.113636363636364,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1638",2020-03-05 16:00:00,2.40245155471892,3.391,"storm_144",46157,0.5,292.944,64.5,3.391,5.32973229821978,7,1,1,0.136363636363636,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1639",2020-03-05 17:00:00,2.38829660534271,3.27,"storm_144",46158,0,282.558,57,3.27,4.7099959844733,8,0.957662701189643,0.875,0.159090909090909,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1640",2020-03-05 18:00:00,2.26230000278438,2.684,"storm_144",46159,1,231.913,45.1,2.684,3.72668103332887,9,0.752624212736179,0.676666666666667,0.181818181818182,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1641",2020-03-05 19:00:00,2.10610825054971,2.64,"storm_144",46160,0.5,228.09,37.6,2.64,3.10694471958239,10,0.737228831350595,0.551666666666667,0.204545454545455,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1642",2020-03-05 20:00:00,1.91432614679063,2.749,"storm_144",46161,0.5,237.48,33.1,2.749,2.73510293133449,11,0.775367389783065,0.476666666666667,0.227272727272727,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1643",2020-03-05 21:00:00,1.69764330976918,2.367,"storm_144",46162,0.5,204.466,31.8,2.367,2.6276819702851,12,0.641707487753674,0.455,0.25,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1644",2020-03-05 22:00:00,1.49907067342767,2.087,"storm_144",46163,0.5,180.29,29.8,2.087,2.46241895328604,13,0.543736878936319,0.421666666666667,0.272727272727273,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1645",2020-03-05 23:00:00,1.33409342987452,2.1,"storm_144",46164,1.5,181.444,26,2.1,2.14841922098782,14,0.548285514345696,0.358333333333333,0.295454545454545,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1646",2020-03-06,1.2195006955995,1.998,"storm_144",46165,1,172.604,23.2,1.998,1.91705099718913,15,0.51259622113366,0.311666666666667,0.318181818181818,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1647",2020-03-06 01:00:00,1.21078207645223,1.808,"storm_144",46166,1,156.199,19.9,1.808,1.64436701914068,16,0.446116165150455,0.256666666666667,0.340909090909091,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1648",2020-03-06 02:00:00,1.33633394568422,1.954,"storm_144",46167,0,168.837,18.3,1.954,1.51215660554143,17,0.497200839748075,0.23,0.363636363636364,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1649",2020-03-06 03:00:00,1.52711907848874,2.456,"storm_144",46168,0.5,212.199,26,2.456,2.14841922098782,18,0.672848145556333,0.358333333333333,0.386363636363636,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1650",2020-03-06 04:00:00,1.66916497650225,2.89,"storm_144",46169,0,249.68,25.9,2.89,2.14015607013787,19,0.824702589223233,0.356666666666667,0.409090909090909,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1651",2020-03-06 05:00:00,1.71214872689348,2.879,"storm_144",46170,0,248.755,22.5,2.879,1.85920894123946,20,0.820853743876837,0.3,0.431818181818182,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1652",2020-03-06 06:00:00,1.67523523081574,2.663,"storm_144",46171,0,230.053,19.9,2.663,1.64436701914068,21,0.745276417074877,0.256666666666667,0.454545454545455,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1653",2020-03-06 07:00:00,1.57463331288454,2.745,"storm_144",46172,0.5,237.181,18.4,2.745,1.52041975639138,22,0.773967809657103,0.231666666666667,0.477272727272727,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1654",2020-03-06 08:00:00,1.42142803457448,2.532,"storm_144",46173,0,218.784,17.7,2.532,1.46257770044171,23,0.699440167949615,0.22,0.5,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1655",2020-03-06 09:00:00,1.25077078298898,2.305,"storm_144",46174,0,199.174,20.6,2.305,1.70220907509035,24,0.62001399580126,0.268333333333333,0.522727272727273,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1656",2020-03-06 10:00:00,1.09283134755669,2.082,"storm_144",46175,0,179.911,22.9,2.082,1.89226154463927,25,0.541987403778866,0.306666666666667,0.545454545454545,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1657",2020-03-06 11:00:00,0.948833103613892,2.061,"storm_144",46176,0,178.091,21.2,2.061,1.75178798019007,26,0.534639608117565,0.278333333333333,0.568181818181818,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1658",2020-03-06 12:00:00,0.815449590504889,1.935,"storm_144",46177,0,167.201,18.9,1.935,1.56173551064115,27,0.490552834149755,0.24,0.590909090909091,"0.94","0.2","FC = 0.94, SFT = 0.2"
"1659",2020-03-06 13:00:00,0.705347181836234,1.693,"storm_144",46178,0,146.272,15.2,1.693,1.25599892919288,28,0.405878236529041,0.178333333333333,0.613636363636364,"0.94","0.2","FC = 0.94, SFT = 0.2"
