"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"24",0.23,0.0970783055198973,0.0794727954971857,0.0176055100227116,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"25",0.24,0.101299101412067,0.0817861163227016,0.0195129850893651,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"26",0.25,0.105519897304236,0.0840994371482176,0.0214204601560186,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"27",0.26,0.109740693196406,0.0864127579737335,0.0233279352226721,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"28",0.27,0.113961489088575,0.0887260787992495,0.0252354102893256,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"29",0.28,0.118182284980745,0.0910393996247654,0.0271428853559791,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"30",0.29,0.122403080872914,0.0933527204502814,0.0290503604226326,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"31",0.3,0.126623876765083,0.0956660412757973,0.0309578354892861,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"32",0.31,0.130844672657253,0.0979793621013133,0.0328653105559396,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"33",0.32,0.135065468549422,0.100292682926829,0.0347727856225931,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
"34",0.33,0.139286264441592,0.102606003752345,0.0366802606892466,0.31219512195122,"FC = 0.98, SFT = 0.1","storm_1","2014-11-01 20:00:00","2014-11-02 04:00:00",6542.13070750533,9,726.903411945037,"0.98","0.1"
