,Pre,Post,Full
aq,2.2600935494528738,1.5181403064616743,1.8508136049739041
bq,0.04090977353348329,0.5563155246248046,0.38185146607646425
ab,0.0,0.0,0.0
bb,0.0,0.0,0.0
aq_std,inf,inf,inf
bq_std,inf,inf,inf
ab_std,inf,inf,inf
bb_std,inf,inf,inf
nse_pre,0.028,-2.137,-0.485
nse_post,0.02,0.624,0.464
lognse_pre,-0.449,-0.285,-0.351
lognse_post,0.064,0.518,0.444
