,Pre,Post,Full
aq,2.520858350596878,2.2410611340793767,2.374009663384263
bq,0.09023970279256859,0.17467486618007372,0.12623658069900964
aq_std,0.1529362300808643,0.1484137164046202,0.12759547751190012
bq_std,0.08776127354902268,0.07281658558343336,0.06791610874639618
nse_pre,0.077,-0.146,0.115
nse_post,0.057,0.19,0.153
pbias_pre,2.068,-26.47,3.088
pbias_post,44.75,3.544,20.006
rrmse_pre,1.174,1.308,1.353
rrmse_post,1.569,1.455,1.488
