"Time","212042","","212042","","212042","",""
"and","10.00","","141.00","","2030.00","",""
"Date","Rainfall (mm)","","Discharge (ML/d)","","Turbidity (NTU)","",""
"Date and time","Total","Quality","Mean","Quality","Mean","Quality","Comments"
00:00:00 01/03/2010,        6.00,    100,      10.565,    140,"",    255, 
00:00:00 02/03/2010,        0.00,    100,      15.273,    140,"",    255, 
00:00:00 03/03/2010,        0.00,    100,      12.692,    140,"",    255, 
00:00:00 04/03/2010,        0.00,    100,      10.785,    140,"",    255, 
00:00:00 05/03/2010,        0.00,    100,       9.978,    140,"",    255, 
00:00:00 06/03/2010,        5.00,    100,      22.145,    140,"",    255, 
00:00:00 07/03/2010,        0.00,    100,      20.720,    140,"",    255, 
00:00:00 08/03/2010,        0.00,    100,      14.639,    140,"",    255, 
00:00:00 09/03/2010,        0.50,    100,      14.145,    140,"",    255, 
00:00:00 10/03/2010,        0.00,    100,      11.114,    140,"",    255, 
00:00:00 11/03/2010,        0.00,    100,       9.171,    140,"",    255, 
00:00:00 12/03/2010,        0.00,    100,       8.334,    140,"",    255, 
00:00:00 13/03/2010,        0.00,    100,       8.338,    140,"",    255, 
00:00:00 14/03/2010,        0.00,    100,       7.448,    140,"",    255, 
00:00:00 15/03/2010,        0.00,    100,       7.872,    140,"",    255, 
00:00:00 16/03/2010,        0.00,    100,       7.763,    140,"",    255, 
00:00:00 17/03/2010,        0.00,    100,       7.047,    140,"",    255, 
00:00:00 18/03/2010,        0.00,    100,       5.817,    140,"",    255, 
00:00:00 19/03/2010,        0.00,    100,       5.253,    140,"",    255, 
00:00:00 20/03/2010,        0.00,    100,       5.024,    140,"",    255, 
00:00:00 21/03/2010,        0.00,    100,       5.231,    140,"",    255, 
00:00:00 22/03/2010,        0.00,    100,       5.576,    140,"",    255, 
00:00:00 23/03/2010,        0.00,    100,       5.394,    140,"",    255, 
00:00:00 24/03/2010,        0.00,    100,       4.772,    140,"",    255, 
00:00:00 25/03/2010,        0.00,    100,       5.195,    140,"",    255, 
00:00:00 26/03/2010,        0.00,    100,       5.890,    140,"",    255, 
00:00:00 27/03/2010,        0.00,    100,       5.412,    140,"",    255, 
00:00:00 28/03/2010,        0.00,    100,       5.863,    140,"",    255, 
00:00:00 29/03/2010,        0.00,    100,       6.188,    140,"",    255, 
00:00:00 30/03/2010,        6.50,    100,      13.044,    140,"",    255, 
00:00:00 31/03/2010,        4.50,    100,      45.158,    140,"",    255, 
00:00:00 01/04/2010,        0.50,    100,      35.898,    140,"",    255, 
00:00:00 02/04/2010,        0.00,    100,      20.174,    140,"",    255, 
00:00:00 03/04/2010,        0.00,    100,      13.184,    140,"",    255, 
00:00:00 04/04/2010,        0.00,    100,      10.473,    140,"",    255, 
00:00:00 05/04/2010,        0.00,    100,       8.229,    140,"",    255, 
00:00:00 06/04/2010,        0.00,    100,       7.950,    140,"",    255, 
00:00:00 07/04/2010,        0.00,    100,       7.950,    140,"",    255, 
00:00:00 08/04/2010,        4.00,    100,      13.940,    140,"",    255, 
00:00:00 09/04/2010,        0.50,    100,      12.001,    140,"",    255, 
00:00:00 10/04/2010,        0.00,    100,       9.471,    140,"",    255, 
00:00:00 11/04/2010,        0.00,    100,       8.606,    140,"",    255, 
00:00:00 12/04/2010,        0.00,    100,       7.898,    140,"",    255, 
00:00:00 13/04/2010,        0.00,    100,       7.480,    140,"",    255, 
00:00:00 14/04/2010,        0.00,    100,       7.030,    140,"",    255, 
00:00:00 15/04/2010,        0.00,    100,       7.520,    140,"",    255, 
00:00:00 16/04/2010,        0.00,    100,       7.358,    140,"",    255, 
00:00:00 17/04/2010,        0.00,    100,       7.321,    140,"",    255, 
00:00:00 18/04/2010,        0.00,    100,       8.190,    140,"",    255, 
00:00:00 19/04/2010,        0.00,    100,       7.486,    140,"",    255, 
00:00:00 20/04/2010,        0.00,    100,       7.356,    140,"",    255, 
00:00:00 21/04/2010,        0.00,    100,       7.322,    140,"",    255, 
00:00:00 22/04/2010,        0.00,    100,       7.577,    140,"",    255, 
00:00:00 23/04/2010,        0.00,    100,       7.120,    140,"",    255, 
00:00:00 24/04/2010,        0.00,    100,       6.882,    140,"",    255, 
00:00:00 25/04/2010,        2.50,    100,       6.907,    140,"",    255, 
00:00:00 26/04/2010,        1.50,    100,      25.867,    140,"",    255, 
00:00:00 27/04/2010,        0.00,    100,      11.048,    140,"",    255, 
00:00:00 28/04/2010,        0.00,    100,       8.526,    140,"",    255, 
00:00:00 29/04/2010,        0.00,    100,       7.511,    140,"",    255, 
00:00:00 30/04/2010,        0.00,    100,       6.768,    140,"",    255, 
00:00:00 01/05/2010,        0.00,    100,       6.760,    140,"",    255, 
00:00:00 02/05/2010,        0.00,    100,       6.669,    140,"",    255, 
00:00:00 03/05/2010,        0.00,    100,       6.449,    140,"",    255, 
00:00:00 04/05/2010,        0.00,    100,       6.176,    140,"",    255, 
00:00:00 05/05/2010,        0.00,    100,       6.445,    140,"",    255, 
00:00:00 06/05/2010,        2.50,    100,      13.468,    140,"",    255, 
00:00:00 07/05/2010,        0.00,    100,       9.664,    140,"",    255, 
00:00:00 08/05/2010,        0.00,    100,       7.851,    140,"",    255, 
00:00:00 09/05/2010,        0.00,    100,       7.168,    140,"",    255, 
00:00:00 10/05/2010,        0.00,    100,       6.599,    140,"",    255, 
00:00:00 11/05/2010,        0.00,    100,       6.254,    140,"",    255, 
00:00:00 12/05/2010,        0.00,    100,       6.230,    140,"",    255, 
00:00:00 13/05/2010,        0.00,    100,       5.989,    140,"",    255, 
00:00:00 14/05/2010,        0.00,    100,       5.934,    140,"",    255, 
00:00:00 15/05/2010,        0.00,    100,       6.110,    140,"",    255, 
00:00:00 16/05/2010,        0.00,    100,       6.563,    140,"",    255, 
00:00:00 17/05/2010,        0.00,    100,       6.400,    140,"",    255, 
00:00:00 18/05/2010,        0.00,    100,       6.472,    140,"",    255, 
00:00:00 19/05/2010,        0.00,    100,       6.985,    140,"",    255, 
00:00:00 20/05/2010,        0.00,    100,       6.470,    140,"",    255, 
00:00:00 21/05/2010,        0.00,    100,       6.129,    140,"",    255, 
00:00:00 22/05/2010,        0.00,    100,       6.237,    140,"",    255, 
00:00:00 23/05/2010,        0.00,    100,       7.800,    140,"",    255, 
00:00:00 24/05/2010,        0.00,    100,       6.301,    140,"",    255, 
00:00:00 25/05/2010,        0.00,    100,       6.712,    140,"",    255, 
00:00:00 26/05/2010,        0.00,    100,      18.875,    140,"",    255, 
00:00:00 27/05/2010,        1.50,    100,      38.064,    140,"",    255, 
00:00:00 28/05/2010,        2.50,    100,      48.485,    140,"",    255, 
00:00:00 29/05/2010,        0.50,    100,      20.856,    140,"",    255, 
00:00:00 30/05/2010,        9.50,    100,      32.019,    140,"",    255, 
00:00:00 31/05/2010,        0.00,    100,      21.501,    140,"",    255, 
00:00:00 01/06/2010,        2.00,    100,      23.028,    140,"",    255, 
00:00:00 02/06/2010,        0.00,    100,      21.533,    140,"",    255, 
00:00:00 03/06/2010,        0.50,    100,      16.386,    140,"",    255, 
00:00:00 04/06/2010,        9.00,    100,      22.241,    140,"",    255, 
00:00:00 05/06/2010,        6.50,    100,      51.570,    140,"",    255, 
00:00:00 06/06/2010,        0.00,    100,      38.582,    140,"",    255, 
00:00:00 07/06/2010,        0.50,    100,      26.919,    140,"",    255, 
00:00:00 08/06/2010,        0.00,    100,      20.954,    140,"",    255, 
00:00:00 09/06/2010,        0.00,    100,      17.736,    140,"",    255, 
00:00:00 10/06/2010,        1.00,    100,      16.136,    140,"",    255, 
00:00:00 11/06/2010,        0.00,    100,      15.362,    140,"",    255, 
00:00:00 12/06/2010,        0.00,    100,      13.696,    140,"",    255, 
00:00:00 13/06/2010,        0.00,    100,      13.040,    140,"",    255, 
00:00:00 14/06/2010,        0.00,    100,      12.411,    140,"",    255, 
00:00:00 15/06/2010,        0.00,    100,      13.318,    140,"",    255, 
00:00:00 16/06/2010,        0.00,    100,      11.761,    140,"",    255, 
00:00:00 17/06/2010,        0.00,    100,      11.501,    140,"",    255, 
00:00:00 18/06/2010,        5.00,    100,      14.286,    140,"",    255, 
00:00:00 19/06/2010,        0.00,    100,      13.257,    140,"",    255, 
00:00:00 20/06/2010,        0.00,    100,      11.292,    140,"",    255, 
00:00:00 21/06/2010,        0.00,    100,      10.496,    140,"",    255, 
00:00:00 22/06/2010,        0.00,    100,      10.169,    140,"",    255, 
00:00:00 23/06/2010,        1.00,    100,      10.487,    140,"",    255, 
00:00:00 24/06/2010,        3.50,    100,      17.670,    140,"",    255, 
00:00:00 25/06/2010,        0.00,    100,      15.083,    140,"",    255, 
00:00:00 26/06/2010,        0.50,    100,      12.024,    140,"",    255, 
00:00:00 27/06/2010,        4.50,    100,      27.341,    140,"",    255, 
00:00:00 28/06/2010,        0.00,    100,      16.263,    140,"",    255, 
00:00:00 29/06/2010,        0.00,    100,      13.589,    140,"",    255, 
00:00:00 30/06/2010,        0.00,    100,      12.540,    140,"",    255, 
00:00:00 01/07/2010,        0.00,    100,      11.915,    140,"",    255, 
00:00:00 02/07/2010,        0.50,    100,      11.292,    140,"",    255, 
00:00:00 03/07/2010,        2.00,    100,      11.039,    140,"",    255, 
00:00:00 04/07/2010,        0.50,    100,      12.699,    140,"",    255, 
00:00:00 05/07/2010,        0.00,    100,      10.986,    140,"",    255, 
00:00:00 06/07/2010,        0.00,    100,      10.693,    140,"",    255, 
00:00:00 07/07/2010,        4.00,    100,      15.911,    140,"",    255, 
00:00:00 08/07/2010,        0.00,    100,      11.972,    140,"",    255, 
00:00:00 09/07/2010,        0.00,    100,      11.600,    140,"",    255, 
00:00:00 10/07/2010,        0.50,    100,      11.311,    140,"",    255, 
00:00:00 11/07/2010,        0.50,    100,      11.358,    140,"",    255, 
00:00:00 12/07/2010,        1.00,    100,      11.000,    140,"",    255, 
00:00:00 13/07/2010,        0.00,    100,      11.511,    140,"",    255, 
00:00:00 14/07/2010,        3.50,    100,      12.970,    140,"",    255, 
00:00:00 15/07/2010,       16.00,    100,      67.391,    140,"",    255, 
00:00:00 16/07/2010,        9.00,    100,      61.145,    140,"",    255, 
00:00:00 17/07/2010,        0.00,    100,      34.592,    140,"",    255, 
00:00:00 18/07/2010,        0.00,    100,      26.577,    140,"",    255, 
00:00:00 19/07/2010,        0.00,    100,      22.637,    140,"",    255, 
00:00:00 20/07/2010,        0.00,    100,      20.306,    140,"",    255, 
00:00:00 21/07/2010,        0.00,    100,      18.615,    140,"",    255, 
00:00:00 22/07/2010,        0.00,    100,      16.886,    140,"",    255, 
00:00:00 23/07/2010,        0.00,    100,      15.843,    140,"",    255, 
00:00:00 24/07/2010,        0.00,    100,      15.125,    140,"",    255, 
00:00:00 25/07/2010,        0.00,    100,      15.003,    140,"",    255, 
00:00:00 26/07/2010,        0.00,    100,      14.542,    140,"",    255, 
00:00:00 27/07/2010,        0.00,    100,      13.889,    140,"",    255, 
00:00:00 28/07/2010,        0.00,    100,      13.552,    140,"",    255, 
00:00:00 29/07/2010,        7.00,    100,      20.102,    140,"",    255, 
00:00:00 30/07/2010,        7.00,    100,      37.857,    140,"",    255, 
00:00:00 31/07/2010,        7.00,    100,      40.759,    140,"",    255, 
00:00:00 01/08/2010,        5.50,    100,      64.863,    140,"",    255, 
00:00:00 02/08/2010,        5.50,    100,      51.526,    140,"",    255, 
00:00:00 03/08/2010,        0.00,    100,      52.564,    140,"",    255, 
00:00:00 04/08/2010,        0.50,    100,      42.969,    140,"",    255, 
00:00:00 05/08/2010,        0.00,    100,      37.774,    140,"",    255, 
00:00:00 06/08/2010,        0.00,    100,      34.722,    140,"",    255, 
00:00:00 07/08/2010,        0.00,    100,      31.306,    140,"",    255, 
00:00:00 08/08/2010,        0.00,    100,      24.992,    140,"",    255, 
00:00:00 09/08/2010,        0.00,    100,      21.677,    140,"",    255, 
00:00:00 10/08/2010,        0.00,    100,      22.459,    140,"",    255, 
00:00:00 11/08/2010,       22.50,    100,      60.274,    140,"",    255, 
00:00:00 12/08/2010,        1.00,    100,      73.342,    140,"",    255, 
00:00:00 13/08/2010,        4.50,    100,      66.941,    140,"",    255, 
00:00:00 14/08/2010,        0.00,    100,      52.325,    140,"",    255, 
00:00:00 15/08/2010,        0.00,    100,      41.352,    140,"",    255, 
00:00:00 16/08/2010,        0.50,    100,      38.669,    140,"",    255, 
00:00:00 17/08/2010,        0.50,    100,      35.998,    140,"",    255, 
00:00:00 18/08/2010,        0.00,    100,      30.460,    140,"",    255, 
00:00:00 19/08/2010,        9.50,    100,      29.884,    140,"",    255, 
00:00:00 20/08/2010,        6.00,    100,      63.330,    140,"",    255, 
00:00:00 21/08/2010,        0.00,    100,      40.497,    140,"",    255, 
