"Time","212058","","212058","",""
"and","141.00","","2030.00","",""
"Date","Discharge (ML/d)","","Turbidity (NTU)","",""
"Date and time","Mean","Quality","Mean","Quality","Comments"
00:00:00 02/01/2010,      11.063,      7,"",    255,Sites:
00:00:00 03/01/2010,      10.870,      7,"",    255,212058 - COXS RIVER UPSTREAM LAKE LYELL Lat:-33.485416 Long:150.076872 Elev:857m
00:00:00 04/01/2010,      11.477,      7,"",    255, 
00:00:00 05/01/2010,      10.465,      7,"",    255,Variables:
00:00:00 06/01/2010,       9.870,      7,"",    255,100 - Stream Water Level (Metres)
00:00:00 07/01/2010,      12.149,      7,"",    255,141 - Discharge Rate (Megalitres/Day)
00:00:00 08/01/2010,      13.063,      7,"",    255,2030 - Turbidity (NTU)
00:00:00 09/01/2010,      12.827,      7,"",    255, 
00:00:00 10/01/2010,      12.395,      7,"",    255,Qualities:
00:00:00 11/01/2010,      12.190,      7,"",    255,1 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
00:00:00 12/01/2010,      11.477,      7,"",    255,3 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
00:00:00 13/01/2010,      12.007,      7,"",    255,4 - TS - Data adjusted during processing - see code definitions
00:00:00 14/01/2010,      12.246,      7,"",    255,5 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
00:00:00 15/01/2010,      11.890,      7,"",    255,6 - GAUGINGS/TS - Best available gauging; Pre 2024 - Good Gauging to AS3778; TS - Data adjusted during processing - see code definitions
00:00:00 16/01/2010,      12.138,      7,"",    255,7 - RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way - see code definitions; Good Gauging
00:00:00 17/01/2010,      20.535,      7,"",    255,8 - TS - Data adjusted during processing - see comments
00:00:00 18/01/2010,      21.459,      7,"",    255,9 - RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way -
00:00:00 19/01/2010,      14.680,      7,"",    255,10 - TS - Data adjusted during processing - see comments
00:00:00 20/01/2010,      14.778,      7,"",    255,51 - TS/GAUGINGS - Data Estimated or Indirect measurement - see comments
00:00:00 21/01/2010,      17.406,      7,"",    255,55 - Auto QC - Flat line data >8 data points identical
00:00:00 22/01/2010,      17.304,      7,"",    255,100 - Quality unknown
00:00:00 23/01/2010,      16.291,      7,"",    255,125 - Telemetry data that has passed Gross Error checks
00:00:00 24/01/2010,      16.552,      7,"",    255,130 - Not quality coded - subject to change
00:00:00 25/01/2010,      16.294,      7,"",    255,201 - Data unavailable
00:00:00 26/01/2010,      16.253,      7,"",    255,255 - No data exists
00:00:00 27/01/2010,      16.306,      7,"",    255,255 - Data Unavailable
00:00:00 28/01/2010,      40.090,      7,"",    255, 
00:00:00 29/01/2010,      39.701,      7,"",    255, 
00:00:00 30/01/2010,      27.372,      7,"",    255, 
00:00:00 31/01/2010,      34.584,      7,"",    255, 
00:00:00 01/02/2010,      21.897,      7,"",    255, 
00:00:00 02/02/2010,      21.194,      7,"",    255, 
00:00:00 03/02/2010,      21.064,      7,"",    255, 
00:00:00 04/02/2010,      21.179,      7,"",    255, 
00:00:00 05/02/2010,      22.244,      7,"",    255, 
00:00:00 06/02/2010,      32.773,      7,"",    255, 
00:00:00 07/02/2010,     107.130,      7,"",    255, 
00:00:00 08/02/2010,     101.335,      7,"",    255, 
00:00:00 09/02/2010,     150.110,      7,"",    255, 
00:00:00 10/02/2010,      90.154,      7,"",    255, 
00:00:00 11/02/2010,      42.438,      7,"",    255, 
00:00:00 12/02/2010,      32.550,      7,"",    255, 
00:00:00 13/02/2010,      34.015,      7,"",    255, 
00:00:00 14/02/2010,      36.350,      7,"",    255, 
00:00:00 15/02/2010,     108.921,      7,"",    255, 
00:00:00 16/02/2010,     199.971,      7,"",    255, 
00:00:00 17/02/2010,     126.278,      7,"",    255, 
00:00:00 18/02/2010,      72.757,      7,"",    255, 
00:00:00 19/02/2010,      45.045,      7,"",    255, 
00:00:00 20/02/2010,      33.707,      7,"",    255, 
00:00:00 21/02/2010,      29.783,      7,"",    255, 
00:00:00 22/02/2010,      26.533,      7,"",    255, 
00:00:00 23/02/2010,      25.992,      7,"",    255, 
00:00:00 24/02/2010,      28.322,      7,"",    255, 
00:00:00 25/02/2010,      22.910,      7,"",    255, 
00:00:00 26/02/2010,      23.222,      7,"",    255, 
00:00:00 27/02/2010,      21.430,      7,"",    255, 
00:00:00 28/02/2010,      20.687,      7,"",    255, 
00:00:00 01/03/2010,      22.831,      7,"",    255, 
00:00:00 02/03/2010,      24.078,      7,"",    255, 
00:00:00 03/03/2010,      22.779,      7,"",    255, 
00:00:00 04/03/2010,      21.664,      7,"",    255, 
00:00:00 05/03/2010,      20.702,      7,"",    255, 
00:00:00 06/03/2010,      23.674,      7,"",    255, 
00:00:00 07/03/2010,      29.165,      7,"",    255, 
00:00:00 08/03/2010,      24.501,      7,"",    255, 
00:00:00 09/03/2010,      24.160,      7,"",    255, 
00:00:00 10/03/2010,      24.363,      7,"",    255, 
00:00:00 11/03/2010,      23.186,      7,"",    255, 
00:00:00 12/03/2010,      22.360,      7,"",    255, 
00:00:00 13/03/2010,      21.492,      7,"",    255, 
00:00:00 14/03/2010,      20.489,      7,"",    255, 
00:00:00 15/03/2010,      19.866,      7,"",    255, 
00:00:00 16/03/2010,      20.036,      7,"",    255, 
00:00:00 17/03/2010,      20.706,      7,"",    255, 
00:00:00 18/03/2010,      20.385,      7,"",    255, 
00:00:00 19/03/2010,      19.132,      7,"",    255, 
