,Pre,Post,Full
aq,1.4058661071800336,1.3210267500808173,1.3707400969730825
bq,0.20054734151057915,0.5397684646392382,0.44204886184646913
aq_std,0.07652933559359583,0.12051082924420192,0.08254063356855817
bq_std,0.06937453040742775,0.05265616710803834,0.04114782219874979
nse_pre,-0.034,-1.573,0.285
nse_post,0.054,0.626,0.515
pbias_pre,-55.921,38.628,-19.201
pbias_post,-74.324,-4.881,-31.763
rrmse_pre,3.189,5.031,2.768
rrmse_post,3.007,1.89,2.154
