,Pre,Post,Full
aq,2.2600935494528738,1.5181403064616743,1.8508136049739041
bq,0.04090977353348329,0.5563155246248046,0.38185146607646425
aq_std,0.25455127978634584,0.2778801717237972,0.24150962590028419
bq_std,0.18058284516459464,0.11681943311346259,0.10859696287970957
nse_pre,0.028,-2.137,0.255
nse_post,0.02,0.624,0.464
pbias_pre,8.499,51.558,-0.948
pbias_post,-44.592,-4.764,-20.947
rrmse_pre,3.093,5.555,2.827
rrmse_post,3.062,1.897,2.263
