,Pre,Post,Full
aq,1.9593113884149127,1.3519176580803491,1.572696385661398
bq,0.07729237245412904,0.5346369711595275,0.4078431345032179
aq_std,0.2555990929879658,0.26514952231027383,0.23345462920257604
bq_std,0.18220214862303738,0.11152658672561781,0.1037987007281512
nse_pre,0.004,-1.567,0.289
nse_post,0.028,0.627,0.513
pbias_pre,0.148,42.352,-1.775
pbias_post,-46.639,-2.817,-18.445
rrmse_pre,3.13,5.024,2.762
rrmse_post,3.049,1.89,2.159
