id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
1532,2014-03-14,26.863,4.3,0.311,2,1
1533,2014-03-15,38.073,5.3,0.441,2,1
1534,2014-03-16,159.926,18.1,1.851,2,1
1534,2014-03-16,159.926,18.1,1.851,3,2
1535,2014-03-17,103.589,9.1,1.199,3,2
1544,2014-03-26,54.411,3.6,0.63,5,3
1545,2014-03-27,53.183,4.1,0.616,5,3
1546,2014-03-28,238.011,16.6,2.755,5,3
1547,2014-03-29,236.153,11.8,2.733,5,3
1548,2014-03-30,281.121,10.3,3.254,5,3
1549,2014-03-31,156.477,5.1,1.811,5,3
1553,2014-04-04,66.533,3.1,0.77,6,4
1554,2014-04-05,271.678,24.8,3.144,6,4
1555,2014-04-06,478.021,13.6,5.533,6,4
1556,2014-04-07,225.824,5.8,2.614,6,4
1560,2014-04-11,87.228,3.2,1.01,7,5
1561,2014-04-12,107.052,3.7,1.239,7,5
1561,2014-04-12,107.052,3.7,1.239,8,6
1562,2014-04-13,122.901,5.7,1.422,8,6
1688,2014-08-17,23.83,1.7,0.276,18,7
1689,2014-08-18,89.033,5.6,1.03,18,7
1690,2014-08-19,146.545,11.3,1.696,18,7
1691,2014-08-20,164.727,7.3,1.907,18,7
1698,2014-08-27,50.964,1.7,0.59,19,8
1699,2014-08-28,107.886,6.0,1.249,19,8
1712,2014-09-10,62.054,2.3,0.718,20,9
1713,2014-09-11,112.333,8.5,1.3,20,9
1714,2014-09-12,121.426,6.4,1.405,20,9
1799,2014-12-06,43.478,4.3,0.503,26,10
1800,2014-12-07,62.282,6.3,0.721,26,10
1801,2014-12-08,147.527,12.3,1.707,26,10
1801,2014-12-08,147.527,12.3,1.707,27,11
1802,2014-12-09,160.685,13.9,1.86,27,11
1804,2014-12-11,86.418,8.5,1.0,28,12
1805,2014-12-12,110.468,6.8,1.279,28,12
1818,2014-12-25,41.929,4.3,0.485,30,13
1819,2014-12-26,52.043,5.9,0.602,30,13
1820,2014-12-27,109.471,12.4,1.267,30,13
1828,2015-01-04,39.595,7.0,0.458,31,14
1829,2015-01-05,42.73,7.0,0.495,31,14
1830,2015-01-06,325.481,27.1,3.767,31,14
1834,2015-01-10,61.956,8.4,0.717,32,15
1835,2015-01-11,92.265,7.8,1.068,32,15
1836,2015-01-12,239.79,14.9,2.775,32,15
1837,2015-01-13,282.348,9.1,3.268,32,15
1838,2015-01-14,189.654,6.4,2.195,32,15
1839,2015-01-15,152.43,10.9,1.764,32,15
1934,2015-04-20,51.317,5.7,0.594,36,16
1935,2015-04-21,152.399,24.3,1.764,36,16
1936,2015-04-22,1268.575,39.6,14.683,36,16
1937,2015-04-23,1111.752,12.3,12.868,36,16
1938,2015-04-24,1129.96,12.3,13.078,36,16
1939,2015-04-25,517.446,7.4,5.989,36,16
1940,2015-04-26,291.865,6.8,3.378,36,16
1941,2015-04-27,229.559,7.3,2.657,36,16
1942,2015-04-28,169.515,7.2,1.962,36,16
1946,2015-05-02,111.871,3.2,1.295,37,17
1947,2015-05-03,121.618,3.4,1.408,37,17
1948,2015-05-04,142.206,3.6,1.646,38,18
1949,2015-05-05,141.847,3.6,1.642,38,18
1950,2015-05-06,139.231,3.6,1.611,38,18
1954,2015-05-10,71.506,2.3,0.828,39,19
1955,2015-05-11,97.97,2.6,1.134,39,19
2017,2015-07-12,59.031,1.7,0.683,42,20
