"","run_id","storm_counts"
"1","FC = 0.98, SFT = 0.1",32
"2","FC = 0.99, SFT = 0.1",36
"3","FC = 0.98, SFT = 0.2",25
"4","FC = 0.99, SFT = 0.2",24
"5","FC = 0.98, SFT = 0.5",10
"6","FC = 0.99, SFT = 0.5",11
