id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
46454,2015-04-20 15:00:00,62.073,4.9,0.718,36,1
46455,2015-04-20 16:00:00,68.973,6.2,0.798,36,1
46456,2015-04-20 17:00:00,76.776,5.3,0.889,36,1
46457,2015-04-20 18:00:00,88.551,7.2,1.025,36,1
46458,2015-04-20 19:00:00,118.996,11.3,1.377,36,1
46459,2015-04-20 20:00:00,185.131,40.5,2.143,36,1
46460,2015-04-20 21:00:00,305.932,78.7,3.541,36,1
46461,2015-04-20 22:00:00,502.035,109.4,5.811,36,1
46462,2015-04-20 23:00:00,705.884,131.6,8.17,36,1
46463,2015-04-21 00:00:00,832.19,123.3,9.632,36,1
46464,2015-04-21 01:00:00,931.728,106.6,10.784,36,1
46465,2015-04-21 02:00:00,1056.302,98.7,12.226,36,1
46466,2015-04-21 03:00:00,1185.601,76.5,13.722,36,1
46467,2015-04-21 04:00:00,1274.877,67.7,14.756,36,1
46468,2015-04-21 05:00:00,1295.725,52.9,14.997,36,1
46469,2015-04-21 06:00:00,1276.594,42.5,14.775,36,1
46470,2015-04-21 07:00:00,1245.691,35.7,14.418,36,1
46471,2015-04-21 08:00:00,1246.426,32.7,14.426,36,1
46472,2015-04-21 09:00:00,1296.706,36.4,15.008,36,1
46473,2015-04-21 10:00:00,1358.758,40.2,15.726,36,1
46474,2015-04-21 11:00:00,1371.757,37.6,15.877,36,1
46475,2015-04-21 12:00:00,1358.022,34.5,15.718,36,1
46476,2015-04-21 13:00:00,1398.482,34.2,16.186,36,1
46477,2015-04-21 14:00:00,1481.304,32.9,17.145,36,1
46478,2015-04-21 15:00:00,1530.038,37.1,17.709,36,1
46479,2015-04-21 16:00:00,1498.119,31.0,17.339,36,1
46480,2015-04-21 17:00:00,1416.252,28.1,16.392,36,1
46481,2015-04-21 18:00:00,1329.326,23.0,15.386,36,1
46482,2015-04-21 19:00:00,1253.784,20.0,14.511,36,1
46483,2015-04-21 20:00:00,1191.242,17.5,13.788,36,1
46484,2015-04-21 21:00:00,1140.472,16.2,13.2,36,1
46485,2015-04-21 22:00:00,1115.455,15.9,12.91,36,1
46486,2015-04-21 23:00:00,1105.889,16.4,12.8,36,1
46487,2015-04-22 00:00:00,1087.249,16.5,12.584,36,1
46488,2015-04-22 01:00:00,1062.064,15.1,12.292,36,1
46489,2015-04-22 02:00:00,1051.945,14.4,12.175,36,1
46490,2015-04-22 03:00:00,1063.536,13.6,12.309,36,1
46491,2015-04-22 04:00:00,1103.927,13.4,12.777,36,1
46492,2015-04-22 05:00:00,1130.661,13.1,13.086,36,1
46493,2015-04-22 06:00:00,1131.642,12.7,13.098,36,1
46494,2015-04-22 07:00:00,1143.415,13.0,13.234,36,1
46495,2015-04-22 08:00:00,1153.716,13.5,13.353,36,1
46496,2015-04-22 09:00:00,1142.679,13.7,13.225,36,1
46497,2015-04-22 10:00:00,1138.264,13.0,13.174,36,1
46498,2015-04-22 11:00:00,1146.113,12.5,13.265,36,1
46499,2015-04-22 12:00:00,1151.999,12.2,13.333,36,1
46500,2015-04-22 13:00:00,1134.831,11.7,13.135,36,1
46501,2015-04-22 14:00:00,1107.606,11.5,12.82,36,1
46502,2015-04-22 15:00:00,1082.344,11.2,12.527,36,1
46503,2015-04-22 16:00:00,1066.892,10.8,12.348,36,1
46504,2015-04-22 17:00:00,1067.873,10.4,12.36,36,1
46505,2015-04-22 18:00:00,1077.684,10.6,12.473,36,1
46506,2015-04-22 19:00:00,1106.625,10.9,12.808,36,1
46507,2015-04-22 20:00:00,1133.114,11.4,13.115,36,1
46508,2015-04-22 21:00:00,1134.095,11.3,13.126,36,1
46509,2015-04-22 22:00:00,1120.85,11.0,12.973,36,1
46510,2015-04-22 23:00:00,1104.908,11.5,12.788,36,1
46511,2015-04-23 00:00:00,1125.265,12.9,13.024,36,1
46512,2015-04-23 01:00:00,1184.619,14.8,13.711,36,1
46513,2015-04-23 02:00:00,1243.728,16.1,14.395,36,1
46514,2015-04-23 03:00:00,1303.328,17.6,15.085,36,1
46515,2015-04-23 04:00:00,1366.891,17.3,15.82,36,1
46516,2015-04-23 05:00:00,1424.591,18.6,16.488,36,1
46517,2015-04-23 06:00:00,1446.82,19.6,16.746,36,1
46518,2015-04-23 07:00:00,1446.535,17.0,16.742,36,1
46519,2015-04-23 08:00:00,1415.298,15.3,16.381,36,1
46520,2015-04-23 09:00:00,1359.003,14.1,15.729,36,1
46521,2015-04-23 10:00:00,1305.045,12.5,15.105,36,1
46522,2015-04-23 11:00:00,1262.369,11.6,14.611,36,1
46523,2015-04-23 12:00:00,1210.127,11.0,14.006,36,1
46524,2015-04-23 13:00:00,1165.243,10.6,13.487,36,1
46525,2015-04-23 14:00:00,1115.209,10.0,12.908,36,1
46526,2015-04-23 15:00:00,1071.78,9.6,12.405,36,1
46527,2015-04-23 16:00:00,1023.246,9.8,11.843,36,1
46528,2015-04-23 17:00:00,978.278,10.0,11.323,36,1
46529,2015-04-23 18:00:00,935.117,9.5,10.823,36,1
46530,2015-04-23 19:00:00,896.928,9.1,10.381,36,1
46531,2015-04-23 20:00:00,859.868,8.7,9.952,36,1
46532,2015-04-23 21:00:00,821.023,8.4,9.503,36,1
46533,2015-04-23 22:00:00,789.754,8.3,9.141,36,1
46534,2015-04-23 23:00:00,761.332,8.0,8.812,36,1
46535,2015-04-24 00:00:00,732.911,7.8,8.483,36,1
46536,2015-04-24 01:00:00,705.665,7.7,8.167,36,1
46537,2015-04-24 02:00:00,679.791,7.4,7.868,36,1
46538,2015-04-24 03:00:00,656.465,7.3,7.598,36,1
