"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"24",0.23,0.0605029013539652,0.162893617021277,-0.102390715667311,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"25",0.24,0.0704835589941972,0.166553191489362,-0.0960696324951645,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"26",0.25,0.0779389900025634,0.170212765957447,-0.0922737759548834,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"27",0.26,0.0848172263522174,0.17936170212766,-0.0945444757754422,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"28",0.27,0.0916954627018713,0.188510638297872,-0.096815175596001,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"29",0.28,0.0985736990515252,0.187963525835866,-0.0893898267843411,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"30",0.29,0.105451935401179,0.18273556231003,-0.0772836269088513,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"31",0.3,0.112330171750833,0.179038613081166,-0.0667084413303332,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"32",0.31,0.119208408100487,0.180394011032309,-0.0611856029318219,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"33",0.32,0.126086644450141,0.181749408983452,-0.0556627645333106,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"34",0.33,0.132964880799795,0.182978723404255,-0.0500138426044604,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"35",0.34,0.139843117149449,0.182978723404255,-0.0431356062548065,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"36",0.35,0.146721353499103,0.182978723404255,-0.0362573699051525,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"37",0.36,0.153599589848757,0.182978723404255,-0.0293791335554986,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"38",0.37,0.160477826198411,0.182978723404255,-0.0225008972058447,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"39",0.38,0.167356062548065,0.18468085106383,-0.0173247885157652,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"40",0.39,0.174234298897718,0.186833541927409,-0.0125992430296908,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"41",0.4,0.181112535247372,0.188986232790989,-0.00787369754361633,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"42",0.41,0.187990771597026,0.191138923654568,-0.00314815205754185,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"43",0.42,0.19486900794668,0.200541586073501,-0.00567257812682062,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"44",0.43,0.201747244296334,0.211353965183752,-0.00960672088741812,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"45",0.44,0.208625480645988,0.222166344294004,-0.0135408636480157,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"46",0.45,0.215503716995642,0.232978723404255,-0.0174750064086132,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"47",0.46,0.222381953345296,0.243791102514507,-0.0214091491692107,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"48",0.47,0.22926018969495,0.256065696155282,-0.0268055064603319,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"49",0.48,0.236138426044604,0.268906308324001,-0.0327678822793975,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"50",0.49,0.243016662394258,0.281746920492721,-0.0387302580984633,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"51",0.5,0.249894898743912,0.294587532661441,-0.044692633917529,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"52",0.51,0.256773135093566,0.30742814483016,-0.0506550097365948,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"53",0.52,0.26365137144322,0.32026875699888,-0.0566173855556605,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"54",0.53,0.270529607792874,0.333714285714286,-0.0631846779214121,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"55",0.54,0.277407844142528,0.353057750759878,-0.0756499066173509,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"56",0.55,0.284286080492181,0.372401215805471,-0.0881151353132897,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"57",0.56,0.291164316841835,0.391744680851064,-0.100580364009228,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"58",0.57,0.298042553191489,0.411088145896657,-0.113045592705167,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"59",0.58,0.304920789541143,0.430431610942249,-0.125510821401106,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"60",0.59,0.311799025890797,0.449775075987842,-0.137976050097045,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"61",0.6,0.318677262240451,0.469118541033435,-0.150441278792984,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"62",0.61,0.325555498590105,0.488462006079027,-0.162906507488922,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"63",0.62,0.332433734939759,0.499700551615445,-0.167266816675686,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"64",0.63,0.339311971289413,0.510543735224586,-0.171231763935173,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"65",0.64,0.346190207639067,0.521386918833727,-0.175196711194661,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"66",0.65,0.353068443988721,0.532230102442868,-0.179161658454148,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"67",0.66,0.359946680338375,0.543073286052009,-0.183126605713635,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"68",0.67,0.366824916688029,0.55391646966115,-0.187091552973122,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"69",0.68,0.373703153037683,0.564759653270291,-0.191056500232609,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"70",0.69,0.380581389387337,0.575602836879432,-0.195021447492096,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"71",0.7,0.38745962573699,0.586446020488574,-0.198986394751583,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"72",0.71,0.394337862086644,0.594689034369885,-0.200351172283241,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"73",0.72,0.401216098436298,0.600671031096563,-0.199454932660265,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"74",0.73,0.410151348980039,0.60665302782324,-0.196501678843201,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"75",0.74,0.420715069094099,0.612635024549918,-0.191919955455819,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"76",0.75,0.43127878920816,0.618617021276596,-0.187338232068436,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"77",0.76,0.44184250932222,0.624599018003273,-0.182756508681054,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"78",0.77,0.45240622943628,0.630581014729951,-0.178174785293671,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"79",0.78,0.46296994955034,0.636563011456628,-0.173593061906289,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"80",0.79,0.4735336696644,0.642545008183306,-0.169011338518906,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
"81",0.8,0.48409738977846,0.648527004909984,-0.164429615131524,0.642553191489362,"FC = 0.98, SFT = 0.1","storm_1","2014-02-19 17:00:00","2014-02-21 10:00:00",48472.6023620041,42,1154.10958004772,"0.98","0.1"
