id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
1934,2015-04-20,51.317,5.7,0.594,36,1
1935,2015-04-21,152.399,24.3,1.764,36,1
1936,2015-04-22,1268.575,39.6,14.683,36,1
1937,2015-04-23,1111.752,12.3,12.868,36,1
1938,2015-04-24,1129.96,12.3,13.078,36,1
1939,2015-04-25,517.446,7.4,5.989,36,1
1940,2015-04-26,291.865,6.8,3.378,36,1
1941,2015-04-27,229.559,7.3,2.657,36,1
1942,2015-04-28,169.515,7.2,1.962,36,1
2391,2016-07-20,93.047,2.9,1.077,80,2
2392,2016-07-21,647.123,34.0,7.49,80,2
2393,2016-07-22,1006.742,16.3,11.652,80,2
2394,2016-07-23,448.598,17.9,5.192,80,2
2395,2016-07-24,464.758,23.9,5.379,80,2
2396,2016-07-25,344.121,9.9,3.983,80,2
2397,2016-07-26,237.49,7.8,2.749,80,2
2434,2016-09-01,115.203,1.1,1.333,89,3
2435,2016-09-02,91.842,2.3,1.063,89,3
2436,2016-09-03,457.427,15.0,5.294,89,3
2437,2016-09-04,1949.998,26.0,22.569,89,3
2438,2016-09-05,692.935,16.6,8.02,89,3
2439,2016-09-06,375.52,15.2,4.346,89,3
2440,2016-09-07,264.851,16.6,3.065,89,3
2441,2016-09-08,212.177,13.2,2.456,89,3
2451,2016-09-18,117.976,3.5,1.365,92,4
2452,2016-09-19,192.898,12.0,2.233,92,4
2453,2016-09-20,988.933,12.3,11.446,92,4
2454,2016-09-21,390.011,4.7,4.514,92,4
3858,2020-07-26,13.326,2.3,0.154,251,5
3859,2020-07-27,20.537,10.3,0.238,251,5
3860,2020-07-28,626.673,50.5,7.253,251,5
3861,2020-07-29,934.938,25.3,10.821,251,5
3862,2020-07-30,453.138,8.2,5.245,251,5
3863,2020-07-31,269.512,6.0,3.119,251,5
3864,2020-08-01,184.038,6.1,2.13,251,5
3865,2020-08-02,139.398,7.3,1.613,251,5
3872,2020-08-09,328.428,10.2,3.801,253,6
3873,2020-08-10,227.351,6.2,2.631,253,6
3874,2020-08-11,879.933,27.4,10.184,253,6
3875,2020-08-12,614.901,8.9,7.117,253,6
4252,2021-08-24,106.105,3.2,1.228,306,7
4253,2021-08-25,704.324,74.6,8.152,306,7
4254,2021-08-26,1291.646,21.6,14.95,306,7
4255,2021-08-27,497.968,12.4,5.764,306,7
4256,2021-08-28,322.217,9.5,3.729,306,7
4257,2021-08-29,259.549,8.4,3.004,306,7
4330,2021-11-10,286.439,5.1,3.315,321,8
4331,2021-11-11,171.898,6.4,1.99,321,8
4332,2021-11-12,434.28,14.0,5.026,321,8
4333,2021-11-13,1538.305,275.0,17.804,321,8
4334,2021-11-14,685.333,13.1,7.932,321,8
4335,2021-11-15,407.809,14.2,4.72,321,8
4336,2021-11-16,321.446,12.3,3.72,321,8
4337,2021-11-17,239.219,,2.769,321,8
4338,2021-11-18,167.645,,1.94,321,8
4339,2021-11-19,130.526,,1.511,321,8
4345,2021-11-25,108.591,6.3,1.257,324,9
4346,2021-11-26,123.945,8.1,1.435,324,9
4347,2021-11-27,939.001,25.4,10.868,324,9
4348,2021-11-28,787.81,8.5,9.118,324,9
4349,2021-11-29,451.367,22.3,5.224,324,9
4350,2021-11-30,310.071,5.5,3.589,324,9
4391,2022-01-10,382.668,6.8,4.429,336,10
4392,2022-01-11,429.471,10.9,4.971,336,10
4393,2022-01-12,991.387,20.5,11.474,336,10
4394,2022-01-13,556.7,9.6,6.443,336,10
4395,2022-01-14,372.751,3.4,4.314,336,10
4396,2022-01-15,310.216,2.2,3.59,336,10
4397,2022-01-16,236.374,1.7,2.736,336,10
4597,2022-08-04,162.013,9.7,1.875,365,11
