id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
2434,2016-09-01,115.203,1.1,1.333,89,1
2435,2016-09-02,91.842,2.3,1.063,89,1
2436,2016-09-03,457.427,15.0,5.294,89,1
2437,2016-09-04,1949.998,26.0,22.569,89,1
2438,2016-09-05,692.935,16.6,8.02,89,1
2439,2016-09-06,375.52,15.2,4.346,89,1
2440,2016-09-07,264.851,16.6,3.065,89,1
2441,2016-09-08,212.177,13.2,2.456,89,1
4639,2022-09-15,107.059,3.8,1.239,373,2
4640,2022-09-16,291.847,19.4,3.378,373,2
4641,2022-09-17,1821.606,25.2,21.083,373,2
4642,2022-09-18,533.471,14.8,6.174,373,2
4643,2022-09-19,352.281,17.6,4.077,373,2
4644,2022-09-20,283.077,16.3,3.276,373,2
4659,2022-10-05,209.081,11.7,2.42,376,3
4660,2022-10-06,217.195,11.5,2.514,376,3
4661,2022-10-07,647.32,18.8,7.492,376,3
4662,2022-10-08,575.153,15.9,6.657,376,3
4663,2022-10-09,1168.804,38.3,13.528,376,3
4664,2022-10-10,2653.287,52.4,30.709,376,3
4665,2022-10-11,969.908,41.6,11.226,376,3
4666,2022-10-12,586.841,31.7,6.792,376,3
4667,2022-10-13,471.805,27.3,5.461,376,3
4697,2022-11-12,161.398,42.7,1.868,382,4
4698,2022-11-13,165.201,32.4,1.912,382,4
4699,2022-11-14,233.731,71.1,2.705,382,4
4700,2022-11-15,3459.543,678.8,40.041,382,4
4701,2022-11-16,903.79,1425.2,10.461,382,4
4702,2022-11-17,568.218,1492.7,6.577,382,4
4703,2022-11-18,461.376,495.7,5.34,382,4
