"","run_id","storm_counts"
"1","FC = 0.93, SFT = 0.1",51
"2","FC = 0.94, SFT = 0.1",55
"3","FC = 0.95, SFT = 0.1",53
"4","FC = 0.93, SFT = 0.2",33
"5","FC = 0.94, SFT = 0.2",34
"6","FC = 0.95, SFT = 0.2",34
