id,q_quant,risingerp,fallingerp,                                            hyst_index,flsh_index,run_id,hyst_index,stormID
0,0,,0.6475972540045767,,0.2938215102974829,,,0
1,0.01,,0.6752162263365925,,0.2938215102974829,,,0
2,0.02,,0.7028351986686083,,0.2938215102974829,,,0
3,0.03,0.003940323,0.7304541710006242,,0.2938215102974829,,-0.726513848,0
4,0.04,0.003678193,0.758073143,,0.2938215102974829,,-0.75439495,0
5,0.05,0.003416063,0.7856921156646558,,0.2938215102974829,,-0.782276052,0
6,0.06,0.003153933,0.804353638,,0.2938215102974829,,-0.801199704,0
7,0.07,0.002891803,0.8050586611456176,,0.2938215102974829,,-0.802166858,0
8,0.08,0.002629673,0.8057636845737531,,0.2938215102974829,,-0.803134011,0
9,0.09,0.002367543,0.8064687080018887,,0.2938215102974829,,-0.804101165,0
10,0.1,0.002105413,0.8071737314300244,,0.2938215102974829,,-0.805068318,0
11,0.11,0.001843283,0.8078787548581599,,0.2938215102974829,,-0.806035472,0
12,0.12,0.001581153,0.8085837782862955,,0.2938215102974829,,-0.807002625,0
13,0.13,0.001319023,0.8261342486651412,,0.2938215102974829,,-0.824815226,0
14,0.14,0.001056893,0.8468619374523265,,0.2938215102974829,,-0.845805044,0
15,0.15,0.000794763,0.8675896262395119,,0.2938215102974829,,-0.866794863,0
16,0.16,0.000532633,0.8883173150266972,,0.2938215102974829,,-0.887784682,0
17,0.17,0.000270503,0.9090450038138825,,0.2938215102974829,,-0.908774501,0
18,0.18,8.373035225267035e-06,0.9297726926010679,,0.2938215102974829,,-0.92976432,0
19,0.19,0.007816435,0.9505003813882533,,0.2938215102974829,,-0.942683946,0
20,0.2,0.015890783387701515,0.9712280701754387,,0.2938215102974829,,-0.955337287,0
21,0.21,0.023965131700667077,0.9826547123332208,,0.2938215102974829,,-0.958689581,0
22,0.22,0.03203948,0.9845964162008728,,0.2938215102974829,,-0.952556936,0
23,0.23,0.040113828326598246,0.9865381200685248,,0.2938215102974829,,-0.946424292,0
24,0.24,0.048188176639563804,0.9884798239361768,,0.2938215102974829,,-0.940291647,0
25,0.25,0.056262525,0.9904215278038289,,0.2938215102974829,,-0.934159003,0
26,0.26,0.064336873,0.9923632316714809,,0.2938215102974829,,-0.928026358,0
27,0.27,0.072411222,0.9943049355391329,,0.2938215102974829,,-0.921893714,0
28,0.28,0.08048557,0.9962466394067849,,0.2938215102974829,,-0.91576107,0
29,0.29,0.088559918,0.998188343,,0.2938215102974829,,-0.909628425,0
30,0.3,0.096634267,0.9997418073485601,,0.2938215102974829,,-0.903107541,0
31,0.31,0.10470861483032284,0.9958867924528302,,0.2938215102974829,,-0.891178178,0
32,0.32,0.11278296314328844,0.9920317775571003,,0.2938215102974829,,-0.879248814,0
33,0.33,0.12085731145625402,0.9881767626613703,,0.2938215102974829,,-0.867319451,0
34,0.34,0.1289316597692196,0.9843217477656404,,0.2938215102974829,,-0.855390088,0
35,0.35000000000000003,0.1370060080821852,0.9804667328699105,,0.2938215102974829,,-0.843460725,0
36,0.36,0.14508035639515074,0.9766117179741807,,0.2938215102974829,,-0.831531362,0
37,0.37,0.15315470470811632,0.9727567030784507,,0.2938215102974829,,-0.819601998,0
38,0.38,0.1612290530210819,0.9689016881827208,,0.2938215102974829,,-0.807672635,0
39,0.39,0.16930340133404748,0.9650466732869909,,0.2938215102974829,,-0.795743272,0
40,0.4,0.17737774964701306,0.961191658,,0.2938215102974829,,-0.783813909,0
41,0.41000000000000003,0.18545209795997863,0.9559799644037628,,0.2938215102974829,,-0.770527866,0
42,0.42,0.19352644627294419,0.9427537248919398,,0.2938215102974829,,-0.749227279,0
43,0.43,0.20160079458590976,0.9295274853801168,,0.2938215102974829,,-0.727926691,0
44,0.44,0.20967514289887537,0.9163012458682938,,0.2938215102974829,,-0.706626103,0
45,0.45,0.21774949121184095,0.9030750063564706,,0.2938215102974829,,-0.685325515,0
46,0.46,0.22582383952480653,0.8898487668446476,,0.2938215102974829,,-0.664024927,0
47,0.47000000000000003,0.23389818783777214,0.8766225273328246,,0.2938215102974829,,-0.642724339,0
48,0.48,0.24197253615073763,0.8633962878210016,,0.2938215102974829,,-0.621423752,0
49,0.49,0.2500468844637032,0.8501700483091786,,0.2938215102974829,,-0.600123164,0
50,0.5,0.25812123277666876,0.8369438087973555,,0.2938215102974829,,-0.578822576,0
51,0.51,0.26619558108963437,0.8237175692855325,,0.2938215102974829,,-0.557521988,0
52,0.52,0.274269929,0.8104913297737095,,0.2938215102974829,,-0.5362214,0
53,0.53,0.28234427771556553,0.7972650902618864,,0.2938215102974829,,-0.514920813,0
54,0.54,0.29041862602853113,0.7840388507500634,,0.2938215102974829,,-0.493620225,0
55,0.55,0.2984929743414967,0.7700582820495728,,0.2938215102974829,,-0.471565308,0
56,0.56,0.3065673226544623,0.7536141239548849,,0.2938215102974829,,-0.447046801,0
57,0.5700000000000001,0.3146416709674279,0.7371699658601969,,0.2938215102974829,,-0.422528295,0
58,0.58,0.3227160192803934,0.7207258077655091,,0.2938215102974829,,-0.398009788,0
59,0.59,0.33079036759335895,0.7042816496708212,,0.2938215102974829,,-0.373491282,0
60,0.6,0.33886471590632455,0.6878374915761332,,0.2938215102974829,,-0.348972776,0
61,0.61,0.3469390642192901,0.6713933334814453,,0.2938215102974829,,-0.324454269,0
62,0.62,0.3550134125322557,0.6549491753867572,,0.2938215102974829,,-0.299935763,0
63,0.63,0.3630877608452213,0.6385050172920692,,0.2938215102974829,,-0.275417256,0
