,Pre,Post,Full
aq,2.206626117124823,1.8967321086981779,2.2221217519940004
bq,0.05244445738649479,0.270118285159987,-0.11904956539557174
ab,-0.40756671826290664,0.6228558390324603,0.8179765217660813
bb,0.2248918299725895,0.9102703921497809,0.9260189146045825
nse_pre,0.028,-0.522,-0.182
nse_post,0.023,0.633,0.617
lognse_pre,-0.364,-0.361,-0.441
lognse_post,0.129,0.406,0.255
