id,Datetime,Discharge (ML/d),Turbidity (NTU),Discharge (cms),stormID,stormCount
1544,2014-03-26,54.411,3.6,0.63,5,1
1545,2014-03-27,53.183,4.1,0.616,5,1
1546,2014-03-28,238.011,16.6,2.755,5,1
1547,2014-03-29,236.153,11.8,2.733,5,1
1548,2014-03-30,281.121,10.3,3.254,5,1
1549,2014-03-31,156.477,5.1,1.811,5,1
1553,2014-04-04,66.533,3.1,0.77,6,2
1554,2014-04-05,271.678,24.8,3.144,6,2
1555,2014-04-06,478.021,13.6,5.533,6,2
1556,2014-04-07,225.824,5.8,2.614,6,2
1828,2015-01-04,39.595,7.0,0.458,31,3
1829,2015-01-05,42.73,7.0,0.495,31,3
1830,2015-01-06,325.481,27.1,3.767,31,3
1834,2015-01-10,61.956,8.4,0.717,32,4
1835,2015-01-11,92.265,7.8,1.068,32,4
1836,2015-01-12,239.79,14.9,2.775,32,4
1837,2015-01-13,282.348,9.1,3.268,32,4
1838,2015-01-14,189.654,6.4,2.195,32,4
1839,2015-01-15,152.43,10.9,1.764,32,4
1934,2015-04-20,51.317,5.7,0.594,36,5
1935,2015-04-21,152.399,24.3,1.764,36,5
1936,2015-04-22,1268.575,39.6,14.683,36,5
1937,2015-04-23,1111.752,12.3,12.868,36,5
1938,2015-04-24,1129.96,12.3,13.078,36,5
1939,2015-04-25,517.446,7.4,5.989,36,5
1940,2015-04-26,291.865,6.8,3.378,36,5
1941,2015-04-27,229.559,7.3,2.657,36,5
1942,2015-04-28,169.515,7.2,1.962,36,5
2210,2016-01-21,40.833,2.6,0.473,61,6
2211,2016-01-22,44.972,6.7,0.521,61,6
2212,2016-01-23,114.515,17.6,1.325,61,6
2213,2016-01-24,240.311,15.3,2.781,61,6
2214,2016-01-25,125.996,6.1,1.458,61,6
2345,2016-06-04,32.351,1.4,0.374,71,7
2346,2016-06-05,72.142,5.7,0.835,71,7
2347,2016-06-06,295.823,17.2,3.424,71,7
2348,2016-06-07,398.343,11.4,4.61,71,7
2349,2016-06-08,173.536,3.7,2.009,71,7
2359,2016-06-18,54.471,1.8,0.63,73,8
2360,2016-06-19,73.125,2.9,0.846,73,8
2361,2016-06-20,134.028,12.0,1.551,73,8
2362,2016-06-21,574.074,16.6,6.644,73,8
2363,2016-06-22,328.407,4.5,3.801,73,8
2363,2016-06-22,328.407,4.5,3.801,74,9
2364,2016-06-23,216.733,4.3,2.508,74,9
2365,2016-06-24,192.814,3.5,2.232,74,9
2365,2016-06-24,192.814,3.5,2.232,75,10
2366,2016-06-25,156.619,3.3,1.813,75,10
2367,2016-06-26,173.054,4.7,2.003,75,10
2379,2016-07-08,144.163,3.0,1.669,78,11
2380,2016-07-09,171.411,10.9,1.984,78,11
2381,2016-07-10,487.188,9.9,5.639,78,11
2382,2016-07-11,261.332,6.3,3.025,79,12
2383,2016-07-12,204.951,7.6,2.372,79,12
2384,2016-07-13,355.585,7.4,4.116,79,12
2385,2016-07-14,210.351,6.5,2.435,79,12
2391,2016-07-20,93.047,2.9,1.077,80,13
2392,2016-07-21,647.123,34.0,7.49,80,13
2393,2016-07-22,1006.742,16.3,11.652,80,13
2394,2016-07-23,448.598,17.9,5.192,80,13
2395,2016-07-24,464.758,23.9,5.379,80,13
2396,2016-07-25,344.121,9.9,3.983,80,13
2397,2016-07-26,237.49,7.8,2.749,80,13
2404,2016-08-02,107.311,4.2,1.242,81,14
2405,2016-08-03,131.333,5.6,1.52,81,14
2406,2016-08-04,494.472,12.7,5.723,81,14
2407,2016-08-05,327.424,6.4,3.79,81,14
2407,2016-08-05,327.424,6.4,3.79,82,15
2408,2016-08-06,261.205,6.0,3.023,82,15
2409,2016-08-07,220.3,5.9,2.55,82,15
2426,2016-08-24,109.693,1.4,1.27,87,16
2427,2016-08-25,126.741,2.7,1.467,87,16
2428,2016-08-26,513.713,14.3,5.946,87,16
2429,2016-08-27,268.379,3.9,3.106,87,16
2434,2016-09-01,115.203,1.1,1.333,89,17
2435,2016-09-02,91.842,2.3,1.063,89,17
2436,2016-09-03,457.427,15.0,5.294,89,17
2437,2016-09-04,1949.998,26.0,22.569,89,17
2438,2016-09-05,692.935,16.6,8.02,89,17
2439,2016-09-06,375.52,15.2,4.346,89,17
2440,2016-09-07,264.851,16.6,3.065,89,17
2441,2016-09-08,212.177,13.2,2.456,89,17
2443,2016-09-10,164.53,7.3,1.904,90,18
2444,2016-09-11,241.354,7.5,2.793,90,18
2445,2016-09-12,247.325,6.3,2.863,90,18
2451,2016-09-18,117.976,3.5,1.365,92,19
2452,2016-09-19,192.898,12.0,2.233,92,19
2453,2016-09-20,988.933,12.3,11.446,92,19
2454,2016-09-21,390.011,4.7,4.514,92,19
2454,2016-09-21,390.011,4.7,4.514,93,20
2455,2016-09-22,299.5,4.9,3.466,93,20
2456,2016-09-23,594.982,6.6,6.886,93,20
2457,2016-09-24,373.951,4.1,4.328,93,20
2458,2016-09-25,266.535,2.9,3.085,93,20
2459,2016-09-26,216.59,2.3,2.507,94,21
2460,2016-09-27,205.193,1.9,2.375,94,21
2462,2016-09-29,144.078,1.3,1.668,95,22
2463,2016-09-30,172.799,1.7,2.0,95,22
2464,2016-10-01,287.995,2.4,3.333,95,22
2465,2016-10-02,231.634,2.3,2.681,95,22
2466,2016-10-03,197.082,2.2,2.281,95,22
2506,2016-11-12,48.91,1.4,0.566,105,23
2507,2016-11-13,187.601,9.7,2.171,105,23
2508,2016-11-14,226.593,4.2,2.623,105,23
2540,2016-12-16,16.322,1.5,0.189,109,24
2541,2016-12-17,123.789,6.9,1.433,109,24
2542,2016-12-18,233.239,4.3,2.7,109,24
2543,2016-12-19,125.884,2.5,1.457,109,24
2635,2017-03-21,70.981,3.9,0.822,115,25
2636,2017-03-22,62.681,5.4,0.725,115,25
2637,2017-03-23,318.855,24.8,3.69,115,25
2638,2017-03-24,155.146,5.1,1.796,115,25
2839,2017-10-11,75.803,0.6,0.877,135,26
2840,2017-10-12,313.539,0.5,3.629,135,26
2848,2017-10-20,87.776,1.2,1.016,137,27
2849,2017-10-21,202.843,7.5,2.348,137,27
2850,2017-10-22,251.538,3.2,2.911,137,27
2976,2018-02-25,33.035,3.4,0.382,157,28
2977,2018-02-26,51.909,11.3,0.601,157,28
2978,2018-02-27,203.142,15.8,2.351,157,28
2979,2018-02-28,105.171,5.0,1.217,157,28
3252,2018-11-28,35.077,2.6,0.406,200,29
3253,2018-11-29,353.365,85.9,4.09,200,29
3254,2018-11-30,480.492,12.7,5.561,200,29
3255,2018-12-01,175.064,6.3,2.026,200,29
3273,2018-12-19,40.193,3.8,0.465,205,30
3274,2018-12-20,151.954,73.4,1.759,205,30
3275,2018-12-21,407.082,28.1,4.712,205,30
3276,2018-12-22,216.858,12.5,2.51,205,30
3277,2018-12-23,113.315,7.5,1.312,205,30
3296,2019-01-11,44.223,,0.512,206,31
3297,2019-01-12,67.566,,0.782,206,31
3298,2019-01-13,224.536,13.0,2.599,206,31
3299,2019-01-14,121.818,9.2,1.41,206,31
3690,2020-02-09,14.939,5.0,0.173,241,32
3691,2020-02-10,433.137,90.7,5.013,241,32
3692,2020-02-11,201.419,45.1,2.331,241,32
3744,2020-04-03,22.365,3.0,0.259,246,33
3745,2020-04-04,38.345,4.4,0.444,246,33
3746,2020-04-05,255.527,,2.957,246,33
3747,2020-04-06,213.571,,2.472,246,33
3748,2020-04-07,96.826,,1.121,246,33
3749,2020-04-08,52.473,,0.607,246,33
3750,2020-04-09,40.27,,0.466,246,33
3751,2020-04-10,34.177,,0.396,246,33
3752,2020-04-11,45.753,,0.53,246,33
3753,2020-04-12,76.633,,0.887,246,33
3754,2020-04-13,33.773,,0.391,246,33
3755,2020-04-14,20.018,,0.232,246,33
3756,2020-04-15,20.098,,0.233,246,33
3757,2020-04-16,18.142,,0.21,246,33
3770,2020-04-29,11.123,1.9,0.129,247,34
3771,2020-04-30,16.285,2.2,0.188,247,34
3772,2020-05-01,147.733,18.0,1.71,247,34
3773,2020-05-02,264.049,14.3,3.056,247,34
3774,2020-05-03,140.206,6.7,1.623,247,34
3858,2020-07-26,13.326,2.3,0.154,251,35
