,Pre,Post,Full
aq,1.9593113884149127,1.3519176580803491,1.572696385661398
bq,0.07729237245412904,0.5346369711595275,0.4078431345032179
ab,0.0,0.0,0.0
bb,0.0,0.0,0.0
aq_std,inf,inf,inf
bq_std,inf,inf,inf
ab_std,inf,inf,inf
bb_std,inf,inf,inf
nse_pre,0.004,-1.567,-0.496
nse_post,0.028,0.627,0.513
