,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id
140,"FC = 0.99, SFT = 0.2",24/10/2020 16:00,28/10/2020 11:00,244935.1175,92,2662.338234,0.99,0.2,storm_26
141,"FC = 0.99, SFT = 0.2",31/10/2020 17:00,1/11/2020 5:00,29727.93984,13,2286.764603,0.99,0.2,storm_27
142,"FC = 0.99, SFT = 0.2",5/11/2020 12:00,7/11/2020 3:00,93385.65391,40,2334.641348,0.99,0.2,storm_28
143,"FC = 0.99, SFT = 0.2",13/11/2020 11:00,14/11/2020 5:00,31824.59222,19,1674.978538,0.99,0.2,storm_29
144,"FC = 0.99, SFT = 0.2",23/11/2020 14:00,24/11/2020 3:00,21892.82589,14,1563.773278,0.99,0.2,storm_30
145,"FC = 0.99, SFT = 0.2",16/12/2020 18:00,17/12/2020 8:00,30766.76618,15,2051.117745,0.99,0.2,storm_31
146,"FC = 0.99, SFT = 0.2",18/12/2020 12:00,19/12/2020 3:00,42572.57426,16,2660.785891,0.99,0.2,storm_32
147,"FC = 0.99, SFT = 0.2",21/12/2020 21:00,22/12/2020 23:00,65748.92062,27,2435.145208,0.99,0.2,storm_33
148,"FC = 0.99, SFT = 0.2",26/12/2020 17:00,28/12/2020 1:00,135221.5413,33,4097.622464,0.99,0.2,storm_34
149,"FC = 0.99, SFT = 0.2",29/12/2020 8:00,30/12/2020 7:00,131456.0687,24,5477.336195,0.99,0.2,storm_35
150,"FC = 0.98, SFT = 0.5",8/02/2020 14:00,11/02/2020 11:00,2093597.297,70,29908.53282,0.98,0.5,storm_1
151,"FC = 0.98, SFT = 0.5",17/02/2020 10:00,18/02/2020 13:00,408050.4897,28,14573.23177,0.98,0.5,storm_2
152,"FC = 0.98, SFT = 0.5",18/02/2020 22:00,20/02/2020 2:00,351094.8934,29,12106.72046,0.98,0.5,storm_3
153,"FC = 0.98, SFT = 0.5",5/03/2020 11:00,7/03/2020 4:00,228416.7003,42,5438.492865,0.98,0.5,storm_4
154,"FC = 0.98, SFT = 0.5",25/03/2020 14:00,27/03/2020 3:00,213720.9481,38,5624.235477,0.98,0.5,storm_5
155,"FC = 0.98, SFT = 0.5",4/04/2020 5:00,6/04/2020 2:00,290787.0596,46,6321.457817,0.98,0.5,storm_6
156,"FC = 0.98, SFT = 0.5",29/04/2020 22:00,1/05/2020 10:00,152862.4109,37,4131.41651,0.98,0.5,storm_7
157,"FC = 0.98, SFT = 0.5",26/07/2020 17:00,30/07/2020 7:00,1012084.214,87,11633.15189,0.98,0.5,storm_8
158,"FC = 0.98, SFT = 0.5",7/08/2020 15:00,8/08/2020 21:00,150686.8052,31,4860.864682,0.98,0.5,storm_9
159,"FC = 0.98, SFT = 0.5",9/08/2020 19:00,12/08/2020 4:00,557166.0013,58,9606.310367,0.98,0.5,storm_10
160,"FC = 0.98, SFT = 0.5",13/08/2020 4:00,13/08/2020 18:00,68616.94165,15,4574.462777,0.98,0.5,storm_11
161,"FC = 0.98, SFT = 0.5",14/08/2020 20:00,16/08/2020 14:00,186738.1005,43,4342.746523,0.98,0.5,storm_12
162,"FC = 0.98, SFT = 0.5",9/09/2020 14:00,10/09/2020 2:00,34565.23101,13,2658.863924,0.98,0.5,storm_13
163,"FC = 0.98, SFT = 0.5",24/10/2020 17:00,25/10/2020 8:00,48523.53811,16,3032.721132,0.98,0.5,storm_14
164,"FC = 0.98, SFT = 0.5",25/10/2020 18:00,27/10/2020 4:00,125131.1089,35,3575.174541,0.98,0.5,storm_15
165,"FC = 0.98, SFT = 0.5",5/11/2020 13:00,6/11/2020 6:00,66760.94963,18,3708.941646,0.98,0.5,storm_16
166,"FC = 0.98, SFT = 0.5",21/12/2020 22:00,22/12/2020 12:00,51553.4377,15,3436.895847,0.98,0.5,storm_17
